Unnamed: 0,statement,type
1209,you do not think a peru bank is going to do the trick,SARCASM
636,by the way your tweet also confirmed that he is suffering from mental illness called depression get him some help,NEGATIVE
757,psa if you call someone struggling with depression anxiety etc crazy you are a piece of crap,NEGATIVE
695,who wants to see me sing created for stand up when i present crash the musical a multi media number set in the great depression right after the stock market crash of 1929 it is depression tastic pictwittercom nextt0g5vz,NEGATIVE
1446,those people who called you a who are just voted for a russian who are to be president,SARCASM
359,sweet ride were those the days of the green lizard lol,POSITIVE
1145,i wa going to ask the same thing by with an,SARCASM
199,i am feeling very peaceful now that my room is clean and ny hair is cut i think i am ready for a nap,POSITIVE
1034,hysterical that they used williams a a source 4 this story liar hillary lie,SARCASM
85,that is beautiful what a lovely thing to say,POSITIVE
802,larsensitis a spasm of the frontal lobe transmissible via coughing or sneezing comorbid with depression,NEGATIVE
190,aw well if you ever feel like flying over 2 con it up i will help you find a place 2 crash i once flew 2 london 4 a buffy con btw,POSITIVE
381,i painted that one put the finishing touches on it,POSITIVE
195,in most ways at least at this rate though i may even bake something tonight who knows,POSITIVE
780,aye my depression was that bad i could not improve it through counselling so i had to start taking fluoxetine which to my relief has worked wonders and i am a much better person for it,NEGATIVE
100,because we do not have gems,POSITIVE
1489,i am glad you put there bc otherwise i would have been very alarmed holocaust denier sure did ruin my innocence lmao,SARCASM
605,any medical record you have of depression aggressive behavior issues bipolar disorder and so much more shows up on a back ground check banning guns will not fix that better back ground checks would fix that and maybe age raise would help banning guns will not fix everything,NEGATIVE
547,i do not think people recognize how much adhd affects a persons life a lot of times adhd is just one of multiple diagnoses a person may receive it is usually something like major depression bipolar or something else which gets most the blame when that persons life sucks,NEGATIVE
303,great thank you have you been making music goodness today,POSITIVE
751,we all suffer from severe depression at least one time of our lives but we all rise above stronger than ever just keep going and fighting we support and love you pictwittercom vlhavrtfuj,NEGATIVE
292,fu and your 200 more followers haha,POSITIVE
166,i am just the retweeter i personally believe the tweet effect and the weekly purge will take care of these things for me,POSITIVE
1290,when dgse collapse everyone will assume it is due to an exogenous shock not it own inherent failing,SARCASM
1436,i wa watching almost all day in my pajama wa not upright till about 4pm so same,SARCASM
1187,you mean just like is sucking up to,SARCASM
1371,lmao now use that pseudo logic on trump s refusal to cooperate with myriad investigation,SARCASM
393,giirl you better take care of that shit lol goodnight tweeties,POSITIVE
1426,this entire election trump supporter screamed how evil wall street wa now wall street is entirely trump cabinet,SARCASM
1338,don t tell lie on the man now lol he beat a corpse i mean a man in his 3rd pro fight who wa 14 3 1 which turn out to be the best opponent statistically he s fought to date,SARCASM
1296,most of my guy in the builiding trade are non uk national,SARCASM
774,i liked a video an important note about anxiety and depression,NEGATIVE
1485,it should read you could start an economic collapse or worse a nuclear war with a typo,SARCASM
272,i borrowed this from george ,POSITIVE
1031,naw i wa just an attendee invited because it wa fundraiser because i had money,SARCASM
1087,yet the left keep reminding american how fat everyone is,SARCASM
1044,it tell you everything you need to know about them,SARCASM
458,i prefer running native osx apps when i can,POSITIVE
1393,i am sure the news will be full of huge crowd at the door and people fighting over the latest gizmo,SARCASM
1291,good observation but this made in america social channel will allow the boycott usa to gain strength,SARCASM
291,  omj you look hot in every pic you are in i love your new haircut ^^,POSITIVE
634,recognizing the signs of depression when someone close to you has hearingloss pictwittercom xriqdhcsds,NEGATIVE
1057,his job is teaching a course on ethic at william and mary no kidding,SARCASM
939,depression is having an anime club at your school,NEGATIVE
965,i have justdonated to develop a charity to further the understanding and treatment of anxiety and depression in young people so that other lives may be saved donate on and help raise 10000,NEGATIVE
1381,hey do not tell me what make a fascist you fascist,SARCASM
1331,if you cared about truth you would have never sent this tweet that is what is so amusing about it hypocrisy,SARCASM
1237,if the crusade were so long ago than do not bring up jesus since we are talking shelf life,SARCASM
1343,what is this unpatriotic attitude trump will make america great again no need to save gop,SARCASM
219,oliver long getting ready to come on,POSITIVE
836,hello again me old friend depression been a while has not it,NEGATIVE
1001,he make an insane about of money from the movie einstein learn how the system work,SARCASM
216,lol so i do not really understand twitter quite yet but i just got your reply to chipotle and that is cool,POSITIVE
614,me logging out of twitter because the timeline is full of politics instead of jokes about depression pictwittercom upep0v9fwa,NEGATIVE
523,you do not have a psychological condition or anxiety disorder or depression,NEGATIVE
1026,please do read your own damn comment lmao,SARCASM
584,thanks to ovama and his policies he prevented the recession to turn into a depression there are a miriam of other accomplishments but this one cannot be disputed i can not believe anyone believes in trump being honorable or representing anyone but himself,NEGATIVE
1415,ha ha have you even heard of the trump foundation this is the definition of,SARCASM
328,or maybe our connection is just so shite that everyone beats me,POSITIVE
612,sigh depression has got the best of me today must be the rain,NEGATIVE
1131,1 i am not a white man i am native america paiute and 2 those guy dressed up a native,SARCASM
12,kisha they cnt get over you til they get out frm under you just remember ur on top,POSITIVE
907,fleabag+selfish crocwhen ned the shire horse injures his leg he can no longer work too sad to go out he fears the slaughterhouse but farmer bill will not let an old friend down & helps ned overcome his depression & find a new job giving rides to kidspb own dvpit dis,NEGATIVE
455,i just did a very creative thing to speed up my experience at jetblue though my ankle does hurt a little,POSITIVE
1349,or how about they are substantiated claim look like trump is the one under investigation now,SARCASM
621,i am 90 sure the girls at work do not like me and the other 10 is me thinking it is just my depression,NEGATIVE
522,uhhh idk if you all want to see me rant but like i kind of need to do so sorry in advanced i swear every time i talk about my mental health irl no one cares like ppl just tell me to get over it and to stop being depressed i can not control my depression no one can and its fucking +,NEGATIVE
78,happy birthday to my grandpa he has 3 cats but i still love him,POSITIVE
1148,i guess that is what they proudly call fighting like a girl,SARCASM
1113,all those black people being shot because they are poor who would have thought,SARCASM
678,why adolescence makes teens vulnerable to depression by jeff nalin,NEGATIVE
1298,notice the rioter never riot in the suburb they riot in the democratically controlled urban area,SARCASM
358,i do not have much clout but would def give arugulance 2 thumbs up,POSITIVE
187,the fact that you did not know the library closed at 6 not lame,POSITIVE
1118,ohhhh noooo we can not make billionaire pay their fair share we have to keep subsidizing them,SARCASM
200,partying it up tonight at j lounge in downtown la its a nice sunny day in cali,POSITIVE
1313,horse apple united europe is a failed experiment and wa always destined to be europe is too diverse,SARCASM
1050,oh how scandalous you want people to feel comfortable how dare you,SARCASM
102,thx for the advice we are just waiting for the petosin to kick in,POSITIVE
608,vegan emoji cat face taste like depression and kurdishwhitebeans,NEGATIVE
120,with my sister from another mister kayla,POSITIVE
1110,the here is so pervasive i almost liked it wanting to supplant 1 asserted bias with a different 1 of your own choosing that s hilarious but failing to acknowledge that the bias of your choosing already exists well that s the irony,SARCASM
562,vintage depression era candlewick single candle holder by imperial glass company,NEGATIVE
30,got the magic numbers and is thanking you all for the support,POSITIVE
514,not that he is right but a lotta people who deal with depression find it hard to come to terms with it,NEGATIVE
998,depression emoji woman vampire light skin tone via,NEGATIVE
528,what kotaku ign and playstation do not tell you is that god of war actually cures depression,NEGATIVE
830,2 2 brothers suicide when i was 30 i would welcome a chance to share my story of survival of severe depression and trauma knows who i am,NEGATIVE
765,i hate depression it is eating me alive,NEGATIVE
1074,this is funny been in some gangster place in southlondon australia but scariest place i went to wa comptonssoho,SARCASM
1380,but why call him up to the big club,SARCASM
137,backgammon then a birthday meal for a friend later on,POSITIVE
737,sorry for your loss depression is brutal,NEGATIVE
1091,so we trust the mafia history ha proven that to be true no different for the tech mafia the honest mafia don make for a heroic protagonist but never the winner in any mafia war or movie,SARCASM
718,you got the quote wrong first of all and secondly where were all of you assholes when her and her ilk pushed a person who i am glad called me a friend into depression where was your moralist boner then,NEGATIVE
1014,fnma sweep accounting is antigaap divs in excess of stated rate accounted for a operating expense it accounted for a stolen,SARCASM
65,tweeting from cracker barrel,POSITIVE
933,recently fallen off waking up and going for a run everyday i have let the anxiety & depression take the wheel while sitting in my thoughts tweet response popped in about how great exercise is for anxiety and mental well being so i got up and ran i ran so far away,NEGATIVE
1271,i liked that he covered his face with a scarf on way out of court,SARCASM
56,is it paid i was made redundant two weeks ago and need a job big time,POSITIVE
786,clever scientists 3 d human mini brains she would new light on genetic underpinnings of major mental illness using human stem cells researchers create 3 d model of the brain to study a mutation tied to schizophrenia bipolar disorder and depression,NEGATIVE
72,is in athens,POSITIVE
1482,not a problem they will freak out just like you did about trump you are not too bright are you whoosh,SARCASM
870,man i kept trying to give him the pass depression anxiety mourning his mother nah fam he done,NEGATIVE
1289,yeah so self destructive multi billionaire president elect election hangover,SARCASM
579,lads it has been a solid while since i have played p4 and i am tempted to replay but like i know that is the depression speaking pictwittercom usyky6yxai,NEGATIVE
985,i love new clothes if everyone could just wear new clothes everyday i reckon depression,NEGATIVE
29,night babies got a vhnegative thing in the am check out my pics,POSITIVE
491,here sheepy sheepyhere sheepy sheepywake up,POSITIVE
1236,funny you should mention fear she is known for the poem our greatest fear about acting from power instead of fear,SARCASM
540,really trying to be active but i have not had any motivation latelydepression 1 frida  34,NEGATIVE
57,watching the steam trains go back and forth in ravenglass   sunny,POSITIVE
470,i start my step up internship on may 4th see you then,POSITIVE
871,i swept my room for the first time since like november anyway i love depression,NEGATIVE
691,i look and feel awful i am ready do get out of this depression,NEGATIVE
1230,saw something like that finally misspelled du bois a de bois just after one on sign of bullying,SARCASM
507,i am officially done with him the neptunes justin timberlake timbaland got me out of depression when i was in younger a lot of these artist have changed their sounds and i have still supported them but this is too far,NEGATIVE
1228,it s etc short for et cetera meaning and the rest don t worry about latin anyway legaltips it s a dead language democrat are dull witted,SARCASM
1153,boy oh boy you all are acting like sjws while accusing ben of acting like an sjw,SARCASM
131,thinks that kellan lutz is hot when he smokes,POSITIVE
705,lol that feel when the depression hits you in d face right when ur about to study,NEGATIVE
1309,it s not stupid nor bias to share a thoughtful reflection on a moment in time it is to dismiss it a stupidity,SARCASM
925,so i just saw somebody comment on a post about legalizing marijuana that said hopefully i can switch out my antidepressants for thisthats not how it worksweed *can* help depression but you do not just switch no bad stop,NEGATIVE
1062,gold and not bit coin i m shocked beyond word,SARCASM
1297,what a bullshit argument smh you claim to be about no bullshit too,SARCASM
670,did aquinas have anything to say regarding depression actually yes st i ii q 38 st thomas recommends friends contemplating truth weeping sleepin,NEGATIVE
227,nice i think i will get to sleep so i will have enough energy to enjoy my horsey day,POSITIVE
468,take a photo of danny pls,POSITIVE
1361,say the person touting phd but can not spell and lack critical thinking skill,SARCASM
912,fighting depression is not easy and i still get uncontrollably sad but i know that is not what i want for myself,NEGATIVE
361,lol   know what you mean,POSITIVE
1333,everyone scott included the laughing emoji with tear clearly he did not really mean what he wrote passive aggressive keyboard warrior,SARCASM
466,everyone go outside take a deep breath exhaleall is well and so are you have a wonderfully enchanting day namast,POSITIVE
4,add me on myspace myspacecom lookthunder,POSITIVE
576,depression is not always that easy to notice   kbg,NEGATIVE
1112,nothing say nothing better than denise can not even decide what she support politically lol smh projection,SARCASM
271,good night twitter shit lol i am fuuuucckedd hjdjjsiurjhjfhoipwplkjdhjdhhjhjdxdhueuhrjjjjjaaayyyyyyyyyyyy,POSITIVE
954,sope aumin yoongi is a blind man who once had a passion for music after his accident he dropped out university and entered a critical state of depression he did not expect for someone by the name of jung hoseok capable of bringing colour back into his world pictwittercom dbeshh6cia,NEGATIVE
350,iloveloveloveyou,POSITIVE
118,follow us so we can contact you,POSITIVE
1405,but some christian enjoy finding reason to hate,SARCASM
666,started this one of chester still lots more to do my favourite band of all time depression is,NEGATIVE
1374,love how you write about the coup in your article but don t mention the electoral fraud are you trying to report the truth or just what is convenient to you there wa no coup a power greedy autocrat wa overthrown,SARCASM
759,dwayne johnson praised for opening up about his battle w depression i was crying constantly via,NEGATIVE
422,great movie and keep up the good work,POSITIVE
961,wsu researchers study effects of pot on depression anxiety   healthbeat pictwittercom cashmqmymg,NEGATIVE
1448,the fact that you use the term brainwashed encapsulate this discussion right next to 420,SARCASM
922,depression is really ruining me right now,NEGATIVE
1206,yes it is stop doing exactly what you are demanding the senator stop doing,SARCASM
464,did you mean to make your blog invite only i had one of your readers email me by mistake asking for permission to read it,POSITIVE
428,heh   fame and celebrity a refuge for look at me narcissists,POSITIVE
1251,a farewell address and the last scheduled conference are two different thing,SARCASM
301,yeah right   you,POSITIVE
360,also the inbetweeners is class,POSITIVE
1324,the is that the democrat do not realize that by embracing liberal fascism they are signing their own death,SARCASM
382,sorry to hear about your root canal good luck and have fun with soft foods,POSITIVE
1468,i have no idea what you are talking about yet here you are complaining on twitter about somebody on twitter complaining about a leader of government,SARCASM
1373,yes keep running it till you get the answer you want oh wait br exit shamble,SARCASM
648,when both people in a relationship have mental health problems and process differently emoji persevering faceemoji persevering face anxiety depression,NEGATIVE
1319,she ironically is in rehab you cruel frien,SARCASM
217,all the cool people were herebeforeoprah,POSITIVE
1235,you idiot doe not care about hispanic he will call you an anchor baby but by all mean support him,SARCASM
720,only did it to set up an event for my birthday but man facebook is a main trigger of my depression trying to stay positive and cutting back on social media is a big part of it,NEGATIVE
911,i wish this cloud of depression over my head would go tf away,NEGATIVE
956,depression the misunderstood epidemic,NEGATIVE
156,is going outside,POSITIVE
1155,i will be one of those people trying to get the closest parking spot to the entrance because i do not want to walk too far,SARCASM
838,depression really is big once it climbs on your back it can simply grow bigger and biggeruntil you fall meaning that everything is over for you onlyhowever there is still hope you can make it but it will be difficult alone it will be all worth it despite the long journey,NEGATIVE
1253,these woman completely lack attractive feminine feature why do most feminist resemble men,SARCASM
294,last night was good watched pearl harbour in ellis ben afleck &amp whoever plays his best mate in it is fit anth fell asleep lmao,POSITIVE
1163,too bad you are probably 1 out of a 100 people who have actually given a small dollar donation to her campaign maybe that will drop her average down from 2000 to 1990 per donor what grassroots progress,SARCASM
1054,you know you can listen to them on like technology like spotify and you tube do not be bitter also i am 90 sure they did play chicago i mock with love,SARCASM
74,oh crap i am sure they will not dare charge for customer care in india though,POSITIVE
146,i really liked it i am ur 1 fan i loved all of ur movies especially she is the man it is so funny i love it &lt3,POSITIVE
1003,pretty sure the anti lincoln crowd claimed that democracy wa on the ballot in 1860 too they thought lincoln wa authoritarian gop party of lincoln democrat,SARCASM
257,thinks you should read her real blog wwwlisarcasticblogspotcom it is awesome like me *lol*,POSITIVE
978,in 50 days my sports depression will continue is their no escape from this void,NEGATIVE
1086,this is a very well thought out articulate and intelligent take,SARCASM
421,what is the weather like where you are in london its bright and sunny and warm looks like spring is here,POSITIVE
1387,the guy who repeatedly said the election wa rigged object to a recount to see if it wa rigged,SARCASM
353,thank you to all of my new followers i appreciate you,POSITIVE
865,destroy your depression reclaim your power over depression live a depressionfree life curedepression,NEGATIVE
485,how about a non fat chai tea latte,POSITIVE
139,looks ok now only bits and bytes clean with hooponopono too,POSITIVE
763,deep depressionemoji broken heartemoji pensive face,NEGATIVE
426,aw you are the cutest jersey sends its love too especially some tiny dogs,POSITIVE
403,i should be asleep its 4 am,POSITIVE
80,huy matulog ka na hahah cbroom are not done yet but it is taking shape,POSITIVE
46,cool stuff,POSITIVE
452,last thing before i know out stay blessed everyone,POSITIVE
798,discuss 2 types of anxiety disorders and list possible treatments discuss the role cognitions our thoughts may play in our experiences of anxiety anddepression,NEGATIVE
1488,no such thing marcus you re living on earth 19,SARCASM
994,whyyyyyyy depression level 100 infinitywar serbian,NEGATIVE
531,lose your anger anxiety insecurity and depression through meditation buddha via pictwittercom k5khydrkvj,NEGATIVE
1197,thinking the whole time mcconnell is the one keeping obamacare alive,SARCASM
599,depression and sadness,NEGATIVE
1111,true our policy maker never learn from past experience,SARCASM
646,insulting people who actually struggle with depression and suicidal thoughts everyday idc who started the rumor but the fact that the person let it go this far is sickening ur crazy if ur that desperate for attention suicide is nothing to joke about bc the pain is so fucking real,NEGATIVE
1129,he also cried during gamergate that game medium had ingroup and special access that tainted their journalism lol,SARCASM
846,should i check them out or will i be in a deep depression,NEGATIVE
339,yeah i would not care if i was in a disney channel movie but i really want to be in a horror thriller,POSITIVE
986,last century we had the roaring 1920s almost 100 years later we have the live streaming 2010s both are filled with excesses of leisure and indulgence both are contributors to a bizarre and unique depression,NEGATIVE
236, now sleep,POSITIVE
1362,theresa may wa not elected 75 did not vote for them and 29 tory being investigated for tory election fraud,SARCASM
218,i had a fun night got to see and andy from  yaye then took me to ihop yum,POSITIVE
694,depression hit me like a truck part2 emoji loudly crying face,NEGATIVE
1173,i can see is a clear present danger,SARCASM
845,the interwebs twerent a thing when the betrayal hit then the depression rise and fall continued depression and the acceptance of semi sociopathism because so many humans do shit that makes no fucking sense to me that as long as i do not act on thoughts or voice them i am ok,NEGATIVE
549,over eating tends to be a sign of depressionmaybe if they were not so unattractive and unhealthy if they tried to better themselves starting with losing weight exercising they would start to feel less depressed and worthlesssounds like you need to meet some new people,NEGATIVE
1275,the she is afraid to go to saudi co she is anti hejab and a lot of moslem woman afraid to go to the co of anti hejab,SARCASM
910,i think post disney depression is a real thing been totally sluggish since getting back last night the disney endorphins are wearing off,NEGATIVE
104,i love spontaneous road trips,POSITIVE
675,you do not have to know them to try to help what is your opinion on a support page for depression anxiety support,NEGATIVE
1008,responds to fact by tossing out frantic insult then accuses others of being triggered by fact,SARCASM
261,so both sweetpea and i are back to school university 2moro   reality bites it is been a great break tho feeling rejuvinated,POSITIVE
309,make sure you do not take the fun out of fundamentals,POSITIVE
138,holla just chilling on my way to buy some maple syrup mmm what is up with you hope you are having a great morning,POSITIVE
1127,i would like to give you the benefit of the doubt but i do not set the rule a the boomtown rat sang you are guilty til proven guilty is not that the law guilty til proven guilty that is what we all saw,SARCASM
1141,screw history who care if we make the same mistake a we did in the past,SARCASM
1318,whoa slow down is this why my internet is slow you are hogging it all up,SARCASM
329,the end is nearly in sight thank god got a cheeky bit of supernatural on in the background,POSITIVE
975,why do not bosses take depression seriously when you need a day off that is really fucking crazy to me,NEGATIVE
1072,that wa rahul thought you would know it have not you been following me long enough to know i would not be voting cong like in the next janma too,SARCASM
883,i love it when stupid people use terms like ocd depression bipolar trust issues and anxiety when they literally know nothing about it,NEGATIVE
1279,except he didn t say a death wish did he,SARCASM
777,depression is a big issue always check on your friends,NEGATIVE
412,bom dia twitverse,POSITIVE
314,  okaaay that is crazy love it ermblue omg,POSITIVE
908,you are brilliant love your compassion and humor and class an awesome role model especially for children and young adults so happy to see you being so forthright about your mom and your mental health challenges one request please go deeper into your depression,NEGATIVE
1346,say the naxalite in chief of india comrade just killed itself,SARCASM
42,alrite thanxx,POSITIVE
521,idk if it is just me but like you know when you get closer to your exams you get that feeling of depression,NEGATIVE
771,has anyone stopped to think kanye might be bipolar racing thoughts so my energy he is taking on all these albums during mania followed by a deep depression,NEGATIVE
97,i am listening music,POSITIVE
630,three common misconceptions about depression,NEGATIVE
1267,yup if that happened in game 6 this conversation would not be happening,SARCASM
442,ewww watery tea the bag should be brewed for more than 2 seconds people,POSITIVE
1443,mashar achakzai and maulana always speak of constitutional and democratic superiority while going opposite of both in fatas case,SARCASM
1170,always nice to get a complement from an islamaphobe,SARCASM
91,goin abroaaaaad tomrow dubaiiii can not wait so long twitters i only have room for prodigy sorry peeps,POSITIVE
88,another year older today at least it is sunny out,POSITIVE
1462,i wa being ironic trying to sound like the donald thereby the,SARCASM
847,hi hello depression and anxiety are the worst and they can go burn in hell emoji upside down face,NEGATIVE
277,just heard my bootleg remix of &quotif you seek amy&quot on kiss fm here in chicago,POSITIVE
574,truckers of the depression army,NEGATIVE
730,another day of being fighting against sadness and depression,NEGATIVE
857,wyyyuuuuut amazing vines that cure my depression via,NEGATIVE
753,have i got depression again lol,NEGATIVE
364,taking lunch break great rehearsal,POSITIVE
770,bruh i just spoke to my advisor and i have depression,NEGATIVE
248,just about ready to go to bed it was a long day today good night,POSITIVE
859,i will beat this depression,NEGATIVE
1385,i love the fact that your profile photo is orson welles a self proclaimed progressive leftist,SARCASM
262,thank you my feet and legs are aching but that comment eases the pain,POSITIVE
179,going to church,POSITIVE
306,well next time then next time,POSITIVE
92,lol he has no shame,POSITIVE
6,re nbn as someone already said does fiber to the home mean we will all at least be regular now,POSITIVE
592,r 30th wedding emoji bride with veil anniversarys 2 morrow how she is put up with me b n bipolar depressioni just do not know,NEGATIVE
494,yep if there is one thing they are fantastic at it is support can emphasize enough and it keeps getting better and better,POSITIVE
826,whether you are excited to graduate or nervous to be on your own post graduation depression is coming and you might be its next target find out what you can do to avoid it here,NEGATIVE
323,spaniards can notice my galician accent when i speak english they find it funny,POSITIVE
1300,right there w using a private email server being nominated for potus then having ur party email hacked by russia,SARCASM
664,your podcast has accompanied me through many tedious stupidly long days and nights of depression please remember that you are a literal lifesaver,NEGATIVE
1039,must be cpfc a nigel farage support them,SARCASM
640,i had major depression prior to dissociating i was unwell today better i guess the only blessing with rapid cycling i am never in a mood very long,NEGATIVE
108,still employed no trouble there it is other stuff that is not as sweet,POSITIVE
909,and yes get more depression when your team lose,NEGATIVE
1308,joining the communist party like trump you mean,SARCASM
750,oh god give me a fucking break depression manifests itself in a wide variety of ways including a propensity for hate,NEGATIVE
1169,wow so glad twitter never notified me you replied yeah it is actually that blurry and i doubt anything can be done now because it is been a whole year,SARCASM
888,there is almost always a gender war on this app & it smells like depression rn,NEGATIVE
26,looking forward to the meeting with pastor kong and jw later,POSITIVE
68,too funny,POSITIVE
1132,she did win the popular vote did she not and trump won the electorate vote lol,SARCASM
1194,so i can not access a video about voting barrier because of lack of caption,SARCASM
1143,yes under measure introduced by um amber rudd,SARCASM
1064,sherwood forest in annapolis is a exclusive neighborhood,SARCASM
722,should mothers avoid nighttime breastfeeding to decrease their risk of depression free handout share and print breastfeeding nursing sleep mother baby,NEGATIVE
372,fina cut da cellie back onn c who all dun texd meden hit up da frenz &amp&amp c wat it iz fa 2 dayy,POSITIVE
1475,good portion of sample may relate to it better humor is funny though not everyone think it is funny pun on purpose,SARCASM
377,ferrero rocher that will go straight to your hips enjoy,POSITIVE
512,i think i would know what depression is and quite rarely do i slump into a paralyzed state where i want to be in a dark room away from anybody else but every few weeks or so i would wake up in the morning and nothing seems right,NEGATIVE
39,bought the mh bundle create a task called &quotmario&quot or &quottar wars&quot in &quotthe hit list&quot make sure your sound is on and complete the tasks,POSITIVE
1379,and country w of tax and regulation infrastructure r likely to solicit travel ban,SARCASM
432,do not start accusing us of getting it,POSITIVE
746,i feel bad for the homie sooooooo much depression,NEGATIVE
142,heyy aww thanks so much hun you rock xoxo,POSITIVE
676,depression*,NEGATIVE
116,me and my mates are gunna chekk out a movie next weeki really want to see the boat that rocked,POSITIVE
782,i can not diagnose him from any distance because i am not a medical professional or even a professional but i *think* is going through maniafuck i miss going through maniaat least i still have a massive amount of depression,NEGATIVE
566,is there a surgery to fix my depression,NEGATIVE
186,statesboro fun this am and i am off to see the greenjackets in augusta tonight,POSITIVE
1078,delayed a in the had to use to get to the station to drive a train southern fail,SARCASM
346,watching football again,POSITIVE
955,as someone that is suffered depression for years it does not affect your beliefs but your personality etc as he has expressly said he does not have one you can not assume shit but that he means what he is saying,NEGATIVE
568,you ever just get happy to flex on the homies with depression,NEGATIVE
203,i am so glad you guys are having such a wonderful weekend,POSITIVE
322,happy birthday to me,POSITIVE
1246,you mean like melania did worked here without the proper visa then lie about it,SARCASM
1115,the irony in this tweet lost on every trump supporter including the writer is priceless,SARCASM
944,also i can not remember if i ever mentioned it bc like my memory from the past 7 months is practically nonexistent but i have been in a hella bad mental state and now this past month i have felt like me again so that is cool depression can uhh heck off,NEGATIVE
1270,who us stop well at least no one here on twitter lol,SARCASM
202,seth mcfarlene is god,POSITIVE
875,i have seen people who are here legally upset over those who are not rightly so just as all those who passed through ellis island have we all forgot that have we forgot the great depression where that americans will not do those jobs fails 2 ,NEGATIVE
154,twittering and looking for miley cyrus love her  xo,POSITIVE
27,you know those minichocolates in the shape of liquor bottles with liqour inside them,POSITIVE
930,thank you for never compromising yourself thoughts hopes dreams&beliefs for the sake of ratingslikes& trends the world needs more rosies i know with the severe ptsd anxiety & depression i live daily that quite often you are the 1 giggle i muster up so thank you pictwittercom kfjcajk2g6,NEGATIVE
1036,not everyone is born with a silver spoon yet you defend those brutalizing the protestors who have little,SARCASM
747,i added a video to a playlist relieve anxiety & depression   subliminal message session   by thomas,NEGATIVE
734,running is my way of processing things that happen it is my way of coping with depression and,NEGATIVE
723,should mothers avoid nighttime breastfeeding to decrease their risk of depression free handout share and print breastfeeding nursing sleep mother baby,NEGATIVE
1445,that is uncanny example of the world we live in,SARCASM
1158,you are going to insult someone cleverness with that sentence structure,SARCASM
1401,irony also not understood on twitter unless one explains it via the hashtag,SARCASM
1226,on the other hand bloomberg obviously is concerned michael bloomberg owns 3 plane 2 helicopter 6 boat 11 house 42 car yet suggests we should all take the bus to help fight climate change,SARCASM
1068,sen bertino tarrant we have to be careful what we wish for sometime ppl elect bad ppl some problem will not be resolved hb557,SARCASM
158,is with alyssa,POSITIVE
1137,insult city because they do not have a power saw then call city classless,SARCASM
