,statement,type
98,provides you the best logistics experience for people all over india mumbai surat navimumbai,POSITIVE
99,you have the best flight attendant ever http tco pxdelnql,POSITIVE
100,made it just huge relief thanks for your help,POSITIVE
101,we had early bird and it wa great your employee were awesome it wa passenger who killed the buzz,POSITIVE
102,thank you so much for access to destinationdragons tonight at cry dying rn ripme,POSITIVE
103,thanks for helping my mom after would not let her get on her plane in orlando you are the best customerservice,POSITIVE
104,thx replying after trying get thru many time amp v mail or people hanging up on you we talked techcontd,POSITIVE
105,that would help or how about integrate it into the app so i can just activate it and surf,POSITIVE
106,amazingly awesome customer service from your reservation agent tonight helping correct a mistake i so love this airline,POSITIVE
107,hmm look like you looked at my tweet from last month not this one wa able to get uk agent to help me thanks,POSITIVE
108,why are you always so amazing jetblue trueblue http tco iimtjxcvlg,POSITIVE
109,a big thanks to the gate agent fltkeeping you informed of the delaygreatcustomerservice,POSITIVE
110,you guy are awesome thanks,POSITIVE
111,i appreciate the follow up,POSITIVE
112,thank you bringbacktheluvtordu miami directflights,POSITIVE
113,thank you so much that help a lot,POSITIVE
114,thanks got put on the am flight tomorrow do not have much faith it will get off the ground tomorrow though,POSITIVE
115,i hope i can be apart of the team with this job opening,POSITIVE
116,thank you,POSITIVE
117,we have just landed thank you anyway btw flight staff on flight were wonderful despite their full day and heavy load,POSITIVE
118,ha getaway deal through may from one way lot of cool city http tco tzzjhuibch cheapflights farecompare,POSITIVE
119,you definitely will,POSITIVE
120,i have dmd you thanks,POSITIVE
121,tpa ord aa another successful journey thanks for the hospitality,POSITIVE
122,thanks for being so good to you military folk it is cold in stlouis but i sure enjoyed my flight http tco rcdhqj,POSITIVE
123,you all are fast we already have our winner congrats,POSITIVE
124,no space in my seat but thanks to your pilot i am back mn early to ohare did not think that wa possible snaord,POSITIVE
125,i will admit you have been rather good to me over the year you have still got me hooked for now peace,POSITIVE
126,just touched down in miami not too far off nicely done united,POSITIVE
127,reservation agent on the phone did a great job,POSITIVE
128,thank you,POSITIVE
129,great crew for flight phx to yvr tonight friendly efficient awesome job,POSITIVE
130,this would be an awesome experience destinationdragons,POSITIVE
131,i will pas along the advice you guy rock,POSITIVE
132,keep up the great work,POSITIVE
133,shavon at customer service desk in charlotte wa fantastic so helpful and smiling evn after what sound like long dayreward her,POSITIVE
134,check in staff at phx are awesome great traffic control for general boarding,POSITIVE
135,thanks i chatted with a nice fella about it and he gave me the lowdown,POSITIVE
136,thank you guy you are the best,POSITIVE
137,one lady helping the of you with luggage,POSITIVE
138,thanks to lea in the chicago office for her help in switching our cancelled flighted flight,POSITIVE
139,great flight and great view http tco aufmxdaj,POSITIVE
140,thanks for moving my dad on to my my mom flight you helped make his birthday start with friendlyfriday awesomeness paw up,POSITIVE
141,thanks,POSITIVE
142,yeehaw you found you another plane thx for listening to me vent,POSITIVE
143,jackpot legroom http tco zoicegli,POSITIVE
144,firstclass to london on my way to londonfashionweek lfw,POSITIVE
145,flt emer stop in albuquer for a heart condition crew wa awesome pilot wa maverick on the divert,POSITIVE
146,welcome anyone who work in those condition deserves a thank you even though i am other side of atlantic lol xx,POSITIVE
147,safety first lovejetblue,POSITIVE
148,tonight you made this fred flintstone happy with an upgrade to st class http tco gkgkzlawpr,POSITIVE
149,yes i did and the bag came straight to my hotel thank you you guy rock,POSITIVE
150,nvm gate said they are holding connection thanks for quick response,POSITIVE
151,you will match my americanairlines status cool,POSITIVE
152,thank you i know you all can not control the weather i appreciate you all working to get my flight rebooked the last two day,POSITIVE
153,my family and i are excited to see you too,POSITIVE
154,thanks keep up the good work,POSITIVE
155,thank you,POSITIVE
156,haha ty do you know what time that lane open at logan,POSITIVE
157,sooo earlier i said i could not fly with you for my school trip but now i can,POSITIVE
158,to offer service from daytona beach to new york albany business review http tco duhbjjhx,POSITIVE
159,great thanks,POSITIVE
160,thank you for getting our daughter home when cancelled flightled all their flight to nashville,POSITIVE
161,thank you all for being an amazing airline who know how to treat their customer you guy rock,POSITIVE
162,it is okayim actually a tea kind of guy anyway thanks,POSITIVE
163,you all work hard at making sure thing flow smoothly keeping positive,POSITIVE
164,thanks for updating me about the hour delay the exact second i got to atl,POSITIVE
165,shoutout kristiesp from gate pvd today she is a rockstar wa a tremendous help in a tough situation promotethatgirl,POSITIVE
166,frustrating daysno flight home changed airline thank you phl usairway employee amp for help getting me back to iah,POSITIVE
167,wow this just blew my mind,POSITIVE
168,aa on time and awesome flight great job american,POSITIVE
169,got mine just in time for the wife and my th anniversary,POSITIVE
170,is my favorite airline i have never had issue with them plus there crew is entertaining,POSITIVE
171,i made it thanks for the help,POSITIVE
172,one heck of an airline http tco cynzftdc,POSITIVE
173,your response ha been incredible truly amazed at the step you have taken to enhance your customer relation big thank you,POSITIVE
174,despite mechanical issue and many delay followed by a cancelled flightlation still getting to vega thanks to great gate agent,POSITIVE
175,i think she wa having a rough moment w a bad passenger from an earlier flight thing got considerably better thanks,POSITIVE
176,thanks,POSITIVE
177,shout out to the pilot and fc attendanteliz of you super strong crosswind during landing eliz did a super job throughout,POSITIVE
178,you together are the best part of flying,POSITIVE
179,thanks,POSITIVE
180,i will a soon a i am done with my article thanks tom,POSITIVE
181,tbt every day,POSITIVE
182,i am in a session presented by one of your beloved traveler i see why you love him so much http tco vvcfyhkvb,POSITIVE
183,well lucky i only fly jbi guess i would be even more squished on any other airline,POSITIVE
184,i will thank you,POSITIVE
185,still not in the air for deicing of plane i will miss connect but customer service wa helpfulim hoping to catch the next flight,POSITIVE
186,thx for the grand view today flt seatac to phx grandcanyon arizona wow love photography http tco dpqouatdf,POSITIVE
187,classiq love virgin america greetingz,POSITIVE
188,look out for flying rock this time it is a bird it is a plane nah never mind it is just a rock,POSITIVE
189,happy tt to my friend hope the weather is not causing you too many headache,POSITIVE
190,i will stick with flying for free any where that southwest go my son work for this wonderful company and mom fly free,POSITIVE
191,thanks,POSITIVE
192,i am so going to miss you airway you always provided great service and never let me down,POSITIVE
193,thank you cc,POSITIVE
194,luvin me some flight today do not change and please add paypal a payment option,POSITIVE
195,handled s question like social medium pro good practice for when our transportation system are all run by friendly ai,POSITIVE
196,ice cream up front solid,POSITIVE
197,great thank you best of luck dealing with this horrible winter,POSITIVE
198,is my favorite airline i can not wait to book my flight to new orleans for my trip in april,POSITIVE
199,me on one of your plane thanks for taking me arizona http tco finqfhue,POSITIVE
200,thanks great service in t already lovejetblue,POSITIVE
201,i will thanks,POSITIVE
202,great customer service thanks,POSITIVE
203,thanks for leaving our year old in his own row flight lax iad,POSITIVE
204,el paso dealsmay,POSITIVE
205,thanks travis at phl a east checkin for knowing baggage policy ski amp boot count a teach your mgr who did not know,POSITIVE
206,toss this ticketits great pr and i am sure every college student following me will be willing to rock out wit too,POSITIVE
207,would also like say kind move on adding the point,POSITIVE
208,this make me happy i hope these are not empty promise,POSITIVE
209,got it thanks,POSITIVE
210,thank you,POSITIVE
211,despite mother nature best effort s good humored folk got you home safely in an area heavily affected by winter storm,POSITIVE
212,appreciate it,POSITIVE
213,vega san francisco baltimore san diego and philadelphia so far i am a very frequent business traveler,POSITIVE
214,your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry you rock,POSITIVE
215,very nicely done,POSITIVE
216,thanks i will look forward to the response,POSITIVE
217,moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,POSITIVE
218,glad it wa finally resolved too too bad i can not get a free voucher to go with mine so i can have a friend travel next time,POSITIVE
219,another perfect flight how come on your plane the sun visor can stay down other carrier make you raise them,POSITIVE
220,new plane gogo easy power for laptop iphone just missing a good boat style swivel cup holder for my dietcoke happyflier,POSITIVE
221,thank you,POSITIVE
222,another great flight amp crew la vega chicago thanks,POSITIVE
223,thank you very much,POSITIVE
224,ok thank you very helpful this is why you are my favorite airline,POSITIVE
225,messaged you thanks,POSITIVE
226,have michelle at t ord train your other staff on how to treat customer a refreshing pleasure to deal with,POSITIVE
227,i am looking forward to watching the oscar on my flight home tomorrow i might even get something bubbly to drink,POSITIVE
228,that doe not look to fat to me it look yummy,POSITIVE
229,thx ops agt rich westagard n flight att nancy den airportheld flight n even saved seat bus select customersfirst,POSITIVE
230,i am really craving your pretzel please send me some,POSITIVE
231,thank you for fixing my hour delay,POSITIVE
232,thanks for the information,POSITIVE
233,just got minenow where to go,POSITIVE
234,am i dreaming did you really just open up a route between dallas and austin and doe this mean houston might be next,POSITIVE
235,flight only an hour long but one of the best flight i have ever had kudos to flight crew and airline in general,POSITIVE
236,will do appreciate the reply though,POSITIVE
237,look like i am settled in to where i am going thx,POSITIVE
238,thank you,POSITIVE
239,thanks sent you dm re baggage issue,POSITIVE
240,i want to be grand staff,POSITIVE
241,thanks to your team for dealing with flight to houston,POSITIVE
242,joanna is wonderful new flight booked by a very friendly and helpful agent during a very stressful day thank you,POSITIVE
243,thanks for listening i definitely wa not the only person in line who thought it wa absurd,POSITIVE
244,thnx,POSITIVE
245,thanks for making sure they hear the message,POSITIVE
246,nope even better there were seat and due to w ampb first to raise hand got to move up i wa not fast enough,POSITIVE
247,no problem thing worked out at airport thanks,POSITIVE
248,thx to gate agt john pascucci for finding you a flight from clt to pvd after our original one wa cancelled flightled http tco yiwlhqhzgp,POSITIVE
249,you are one great airline,POSITIVE
250,i always look forward to jb rt looking forward to welcoming you onboard,POSITIVE
251,you guy are so clever http tco qnodugfqk,POSITIVE
252,friendly engaging personable handled clarifying question about baggage fee well and took an interest in what i wa doing,POSITIVE
253,you are the best follow me please,POSITIVE
254,giant and virgin america a match made in heaven,POSITIVE
255,eyyyy cancelled flightlations flight booking problem reflight booking problem but you all got me on the same flight out tonight not tomorrow amp the fc upgrade thx,POSITIVE
256,thank you margo at houston bush intercontinental for getting me home earlier,POSITIVE
257,they were amazing and thank you,POSITIVE
258,you are my early frontrunner for best airline oscar,POSITIVE
259,great thanks,POSITIVE
260,thank you for the reply i will fill out the form and submit it a requested good to know you are paying attention,POSITIVE
261,ok no worry thanks for the straight story it is appreciated,POSITIVE
262,claudia in iah terminal b travel assistance ha me all set great service thank you,POSITIVE
263,round trip ticket just arrived for our auction at the post master invitational thanks southwest http tco mrfbjtepef,POSITIVE
264,thanks for your great customer service today amp for helping me get all my travel sorted out,POSITIVE
265,guy let it go http tco voxcghciji,POSITIVE
266,you have got a mess here at dtw but your staff is doing great,POSITIVE
267,i will check it out when i get to the airport thanks,POSITIVE
268,katie gate c denver international fantastic customer service helping me and new flyer thx for amazing staff,POSITIVE
269,is expiring the offer to buy or transfer united mileageplus mile with discount many offer during a year http tco tzimqzlg,POSITIVE
270,service by staff wa great a usual cleanliness and smell a bit much i will be back satisfied traveler,POSITIVE
271,we are here at mco thanks,POSITIVE
272,glad you like it feel free to steal it,POSITIVE
273,by the grace of god i made it we do not have those power in here we hope you can make that flight,POSITIVE
274,great flight with no delay thank you,POSITIVE
275,thanks idk if it still late flight but i hope i get it tonight,POSITIVE
276,thanks for sending my kid to the destinationdragons concert vega so awesome http tco gbeasz,POSITIVE
277,nice and early back home http tco gegnghmie,POSITIVE
278,v nice of you to give me a breakfast voucher for in an airport that almost got me a whole drink,POSITIVE
279,i can not say what airline i am on right now but i sincerely miss you bestairline,POSITIVE
280,i know that bar wish i wa there now,POSITIVE
281,good luck at dfw this evening aa,POSITIVE
282,love your tv ad with the girl dancing make me laugh every time and now i want to take a trip,POSITIVE
283,done just now thanks,POSITIVE
284,waiting on my flight right now thanks,POSITIVE
285,flight booking problem flight for a dc visit for easter weekend started difficult but ended well with you guy big fan here,POSITIVE
286,big up the pilot of for turning hr on the tarmac to just a min delayed arrival,POSITIVE
287,this is so smart it make me angry mt we have partnered with to bring you free digital access onboard http tco liwecasoe,POSITIVE
288,thank you see you all soon i am excited to see the expansion of destination spread those wing,POSITIVE
289,yes called your uk number on skypewell worth the i recommend others do the same,POSITIVE
290,exciting time ahead,POSITIVE
291,thanks,POSITIVE
292,thank you for the tip,POSITIVE
293,i wa so glad it wa mentioned i took my first virgin flight a few year back and it wa a transformative experience,POSITIVE
294,had me at their safety video http tco cqmmnuem loved my first cross country flight livewelltraveled sytycd,POSITIVE
295,we are having grandbabies in week will travel to dc for the birth thank you for the reasonable fare see you saturday,POSITIVE
296,looking forward to flying with you guy a well,POSITIVE
297,holy fuckinf shit,POSITIVE
298,thanks do you all expect to be operational tomorrow out of nashville,POSITIVE
299,thank you good suggestion i checked and we were not rebooked we will keep checking and looking for other flight,POSITIVE
300,on the dl send ethan some new pant and some white revive laundry tab he is a great guy good crew he is just err single,POSITIVE
301,awesome thanks,POSITIVE
302,success good work jetblue team,POSITIVE
303,i definitely will thanks,POSITIVE
304,chicago seen from seat a aa so far a great ride on to p http tco xrsvagijn,POSITIVE
305,nicole at quito airport took great care of you this week handled lost baggage seat change very professional nice pat her back,POSITIVE
306,loving the boarding to go to chicago keepitmovin,POSITIVE
307,thanks for replying i feel a little better we will see how it go,POSITIVE
308,so relieved i am flying after listening to everyone at the neighboring gate bitch about spirit my airline better than yours,POSITIVE
309,i adore you and am so looking forward to my flight to austin in two week,POSITIVE
310,he just went above and beyond to be helpful,POSITIVE
311,thanks southwest for saving our trip my sweetheart is not going to miss seeing altonbrownlive thanks to you all sohappy,POSITIVE
312,thank you i wish the lady in little rock had told me that in the morning when i asked her,POSITIVE
313,thank you for your kindness your agent went above amp beyond to get my stranded family home,POSITIVE
314,thanks it is very helpful to understand that the reduced price seat that are sold at check in have priority over the certificate,POSITIVE
315,thanks we filled it out how is our luck with this is it common,POSITIVE
316,you cool,POSITIVE
317,thanks for following up it finally worked finger crossed the new flight work,POSITIVE
318,first base already i like your style,POSITIVE
319,my father loved working for you a well a panam,POSITIVE
320,thank you customer relation will review your concern and contact you back directly john,POSITIVE
321,got another flight thanks you,POSITIVE
322,of course you know i would like lay you down in a bedofroses a long a they are mint colored http tco qyezhjgsb brandmance,POSITIVE
323,so happy that you can finally put your southwestairlines boarding pas into passbook make life so much easier,POSITIVE
324,thanks for more timely update,POSITIVE
325,thanks so much for your condolence and quick response it is very much appreciated,POSITIVE
326,never been delayed before to tpa out of bdl better safe than sorry lovejetblue onlyblue jetblueforever,POSITIVE
327,that would be great k you,POSITIVE
328,exicted to be flying with you all soon,POSITIVE
329,these are some awesome photo thanks for sharing,POSITIVE
330,oh my gosh seriously you just made my day week year no one will appreciate this more than me,POSITIVE
331,thanks for responding will do,POSITIVE
332,ta off site at thelodge should be a fun day,POSITIVE
333,there is just so many choice for you all south of the border and i know not every airline is equal lowest price best value,POSITIVE
334,it wa coming and next catching home to dca let you get another great leg too tonight,POSITIVE
335,thank you standing in line now,POSITIVE
336,thanks for offering this service guy http tco xdjzkcgb,POSITIVE
337,and a huge thanks to the crew on flight who flew in to dca from sju monday night in the snow so we could have a plane,POSITIVE
338,after my second call to customer service and the fifth person i talked to an amazing rep fixed it in about min persistence,POSITIVE
339,ok thank you,POSITIVE
340,can anyone help me upgrade to buisness select can not seem to get hail of the right area at all i know you guy are good,POSITIVE
341,thank you for having flight going out of nashville you guy rock disneyprincesshalfmarathon girlsweekend bffs,POSITIVE
342,thanks,POSITIVE
343,ok thank again for your help,POSITIVE
344,i wa so excited when i saw that you fly there ionlyflyblue,POSITIVE
345,i live in the southwest imagine dragon is my favorite band and i met my bestfriends thanks to them it would be amazing,POSITIVE
346,you all are the best flyfi ondemand leatherseats hipunis legroom,POSITIVE
347,thanks for bringing my son home to me,POSITIVE
348,oh no worry just have never seen that before until today i meanit is a great card,POSITIVE
349,okay thanks for your help jt i appreciate your time,POSITIVE
350,thank you i will address it with them,POSITIVE
351,thank you,POSITIVE
352,thank you,POSITIVE
353,i see thanks for explaining,POSITIVE
354,karen riedel is a rock star employee and a miracle worker i really appreciated her help this morning,POSITIVE
355,just got a call apologizing personally for the long wait last week trying to rebook flight class act i appreciate that,POSITIVE
356,well plane arrived pretty much on time and it is degree on the ground in texas not much to complain about,POSITIVE
357,thanks good time there and back vodkatonics the entire flightsfo,POSITIVE
358,in my hotel now thank you,POSITIVE
359,wish everyone felt like you,POSITIVE
360,cxl flight rebooked pax no problem thank you and everyone at aa for helping you all out,POSITIVE
361,thank you see you next wednesday in fll save me some peanut,POSITIVE
362,just got off the phone customer service only minute to get my issue resoled you guy are awesome,POSITIVE
363,thank you for the information,POSITIVE
364,feel like a good day to fly thanks for the ontime departure to sna bestinclass ft takemehome,POSITIVE
365,so sorry i ended up on you air flight thank you though for getting back to me,POSITIVE
366,me too,POSITIVE
367,if you follow me i will be able to dm you thanks,POSITIVE
368,thanks for the upgrade today great way to start my week cc,POSITIVE
369,thank you for responding so quickly with a helpful tool,POSITIVE
370,is officially my favorite airline they have created magic for me all day friendlyskies careyon,POSITIVE
371,thank you,POSITIVE
372,thanks sent a dm to you let me know if oyu need any additional information,POSITIVE
373,from orlando to dca and my awesome flight attendant is robert,POSITIVE
374,baggage check in and in flight crew the friendliest ever flight ogg to lax,POSITIVE
375,i flew to san francisco from fort lauderdale with you last year had a fantastic time so would like to go back,POSITIVE
376,awesome,POSITIVE
377,it all good flight eventually took off and landed safely oh and i got the free cup of wine thx,POSITIVE
378,i do the best airline wifi ever thank you,POSITIVE
379,thanks to the whole team for an on time flight despite inclement weather http tco eqepkkpsxm,POSITIVE
380,lauren i am screaming,POSITIVE
381,aww thanks aadfw wa on gma up here this amso i understand btw aa is my airline when i am able to trvlove you guy,POSITIVE
382,thank you for a great flight in gfc cheer http tco nvlnglnmgn,POSITIVE
383,thank you,POSITIVE
384,always have it together you are welcome rt you are so welcome,POSITIVE
385,so glad to hear thanks for sharing the video me and jetblue are bff,POSITIVE
386,you will every chance i get thanks for keeping me exec platinum,POSITIVE
387,wow awesome video guy http tco dbcvepnqc great work bluemanity corevalues passion aerojobmarket avgeek,POSITIVE
388,our fleet on fleek http tco kvxslcqlp new fav airline,POSITIVE
389,although there wa a hour delay every single staff member from the ticket desk to the admiral club in wa a sweet a pie,POSITIVE
390,well deserved,POSITIVE
391,thank you appreciate the response,POSITIVE
392,about timeand just in time for my next flight thursday,POSITIVE
393,flight proud to fly jet blue,POSITIVE
394,thank you for doing the best you could to get me rebooked agent on phone amp addtl resolution on dm wa very much appreciated,POSITIVE
395,always enjoy my time now on the plane to dfw,POSITIVE
396,no apology necessary it wa wind and i wa on delta xoxo,POSITIVE
397,thank you i will do that next time,POSITIVE
398,me too love living so close so i always have great view,POSITIVE
399,you are welcome,POSITIVE
400,well it is john hughes birthday but i will stick w the plane amp hold off on train amp automobile gate worker are doing well,POSITIVE
401,smf to jfk,POSITIVE
402,not worried it is been a great ride in a new plane with great crew all airline should be like this,POSITIVE
403,i love this song lt thanks,POSITIVE
404,thanks just a program comment the system assigned seat behind each other even though pair were available i changed it back,POSITIVE
405,you guy made my day treated me well thank you,POSITIVE
406,i deleted that tweet because one of your wonderful employee swooped in to help faith restored you are one of the good one,POSITIVE
407,great to hear thankyou so much greatly appreciate your reply feel much more settled now,POSITIVE
408,shout out to diane at eyw for helping get you home today instead of tomorrow even if a little late flight,POSITIVE
409,always make our cross country flight rad here is baby flier charlotte thtimemonthsold http tco kcqnwixucm,POSITIVE
410,delacy p is a compassionate professional despite the flight challenge she made passenger feel like priority,POSITIVE
411,ok thank you we were told ground delay due to snow,POSITIVE
412,is flying from love to austin now that is most excellent news,POSITIVE
413,my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,POSITIVE
414,provide a voucher for one of my customer and i will tweet about you all day long earnedmybusiness,POSITIVE
415,thanks for taking care of me today michele rocked the customer service gate hou,POSITIVE
416,make flying for fun flight crew just led the plane in singing happy birthday to one of our guy luvintheair,POSITIVE
417,i ended up on a flight to la my fourth time on standby thanks http tco nageakpa,POSITIVE
418,just sent another drink couponsi think i have over coupon now free drink anyone,POSITIVE
419,flight phx to lax wheel stop glad to be home thanks to the professional both up front and in the cabin,POSITIVE
420,awesome thanks,POSITIVE
421,haha thanks for the explanation,POSITIVE
422,and to add to my earlier tweet this wa my daughter th bday present thank you for the hard work and making it happen,POSITIVE
423,thanks,POSITIVE
424,wanted to compliment ur phone agent jeanette for reflight booking problem rdu to sea thru sfo after connecting flight thru ewr wa cancelled flightled,POSITIVE
425,thanks for the upgrade so far so good keepitup http tco bkmfeyqol,POSITIVE
426,thank you kindly,POSITIVE
427,ltaljx from dca to oma this morning all of the staff that helped me fix my problem were so helpful goodthingscome thanks,POSITIVE
428,thanks http tco pdrllre,POSITIVE
429,bluemanity brought tear to my eye jetblue s commitment to giving back to the crewmembers and the community is aww inspiring,POSITIVE
430,i got it added thank you,POSITIVE
431,keep going back and forth with being able to board and then not but great agent in savannah,POSITIVE
432,you the real mvp http tco jwlglrw,POSITIVE
433,i love you,POSITIVE
434,please acknowledge attendant jeff wernicke beat in class and service on sw,POSITIVE
435,fll to mde great flight great customer service thanks mths waiting to speak to a human at customer service,POSITIVE
436,thanks great stuff i can only imagine how jammed everything is,POSITIVE
437,we hope to see you on board soon and thanks for the tweet ey,POSITIVE
438,thank you for your offer all sorted out,POSITIVE
439,you are still the best,POSITIVE
440,yes always a treat to fly with you guy,POSITIVE
441,you guy rock so easy quick and affordable to change my flight bestairlineever neverchange,POSITIVE
442,i love american airline,POSITIVE
443,i wanted to thank the great effort of jamie mckinnie in buf she is a true pro during major delay she wa owning it raise,POSITIVE
444,great seat on this aircraft,POSITIVE
445,thanks flight today great crew,POSITIVE
446,sweet glad to hear it i will keep you guy in mind next time,POSITIVE
447,dad on segway is the best part of this whole infographic,POSITIVE
448,we are pulling off the runway now making new friend with seat mate thanks for the response cb,POSITIVE
449,definitely lot of announcement and the app is great,POSITIVE
450,outstanding customer service thank you,POSITIVE
