Unnamed: 0,type,statement
4526,neutral,thank you but i do not understand what will you do with my feedback
3385,neutral,window exit give it away
1813,neutral,since high likelihood of snow at time of flight tomorrow any chance i can rebook for sunday
618,negative,strike again why board anyone if there is something wrong with the plane common sense
301,negative,flight sitting fully loaded for over an hour air conditioning barely working
4689,positive,thank you so much
1165,positive,thank you
3774,positive,ha unrivalled access to california with flight to the u from uk airport with nonstop or one stop connection year round
3180,neutral,our fleet on fleek http tco ghjbpgg why
1057,negative,i jetblue but i wa on flt from fll to sfo tke off wa over hr late flight div to phx amp got in hr late flight what will be done
673,negative,i will be sending posting complete detail of the circumstance surrounding this matter united airline should be ashamed
1321,negative,disappointment making own arrangement for me amp my sleeping toddler with zero assistance from usair is maddening
1357,negative,really hour we do not like delay and do all we can to avoid them we will have you on your way a soon a possible
2407,neutral,greeting ua club member here any idea if i can use the air canada lounge at yvr flying ua tomorrow
810,negative,not giving you a hard timejust looking for basic customer service after aa lost my bag eta on it is return please
1457,negative,gf wa on hold for hour and call wa dropped help need a flight
898,neutral,what are your service what promotion you have at the moment modelodenegocio innovation innovacion businessmodel
1730,neutral,do you mean fortunately i do not want my flight to be affected
2992,positive,haha no worry you guy are the best for spelling my name correctly
2103,neutral,unfortunately i do not even have that my phone died before of had a chance to grab it it wa from oma to san from
1065,negative,no customer service rep could confirm where my bag wa amp each gave me different info ruined event i had today disappointed
1333,negative,last week i bought a plane ticket round trip to fl amp just fun i look at the price of them today and they went down nothappy
313,negative,what is your phone number i can not find who to call about a flight reservation
4579,neutral,flight cmh to ord just arrived at gate next segment to yvr already boarding will they hold it
1032,negative,okay thanks if you could please update me i wa told at the airport someone would call me today but they have not
590,neutral,any plan to support applepay on board i have the usairways mc and it would be nice to still use it if i forget the card
722,negative,had wi fi broken on plane had same outage on on friday how can southwest get it right on every plane but united can not
1326,neutral,when will the system be up and running
1710,neutral,hello good afternoon how are you i need know how much flying for summer from june th
5107,positive,thanks i will use the extra time to do some more shopping did somebody say duty free
883,negative,been on hold with reservation for over min already worstairline
4487,positive,thank you for the service credit and to for positive thought
56,negative,haha i did they said it wa not their fault somehow you guy r a joke
623,positive,thank you so much for access to destinationdragons tonight at cry dying rn ripme
4536,positive,ann marie at lga is the best ticket agent ever excellentcustomerservice
2662,positive,i got it added thank you
672,neutral,hi know a pastor or homeschool mom who might like spirited have them contact me on prefundiahttp tco jrbzlhrwy
3184,neutral,thank you
94,negative,nashville airport ha runway open it appears southwest is only airline cancelled flighting flight is this likely to change
5604,positive,i can not wait to hear back from you regarding the internship opportunity
1008,negative,onlyinamerica day and not a word from unitedairlines customerservices bad pr guy
1278,neutral,how can i verify if wheelchair assistance ha been requested for my next flight
2417,neutral,yesterday deal
2183,positive,thank you see you next wednesday in fll save me some peanut
5181,positive,thanks for the hour layover in la too icing on the cake at least your staff wa courteous and helpful not unreal
3749,neutral,call amp wasted hr on hold to change my coming divided award weather relate flightd flight you all disconnected me x please help
801,negative,sure did go south after breakfast though delayed three hour
2144,positive,thank you
1533,negative,nope they just announced we are headed back to the gate
5394,positive,thanks for explanation it seems like an odd incentive structure tho because it dramatically diminishes the value of the cert
1081,negative,i would die if i got ticket to destinationdragons and you would be invited to my funeral
1621,neutral,stahp rt our fleet on fleek http tco bmunraoni
903,negative,she hasshe ha not heard from anyone in over a week a nonstop flight and her baggage wa lost stolen customer service
1253,negative,yes but i had to pay more for another flight to get me out tomorrow since there were not anymore for tonightnot fun
360,negative,this merger with a cluster of inefficiency and misinformation when is it going to be done
3410,positive,gotcha thanks for the update i am ready to go whenever you are enjoy your evening
308,negative,took a flight yesterday fron tpa dfw au bag went to iah today bag went to iah dfw and then back to iah still no bag
200,negative,feeling like a true united customer stuckon the tarmac in dc for over hr unitedfail
3170,positive,seems very likely
756,negative,still sitting here waiting for a plane hour wasted
190,negative,you make it hard to fly with you delayed over an hour and now the plane is turning around amp heading back to the gate connection
2773,neutral,no rt our fleet on fleek
3778,neutral,ua just landed
1543,negative,cancelled flighted my mileage plus award reservation gc same day have yet to see my mile back despite agent confirmation
576,negative,i called more than time to redeem mile point and can not get through you advertise the mile but make them very hard to use
306,negative,narrowly made standbylots of snag this trip
1220,negative,she waved someone behind me to step forward although i explained what happened and indicated my need to make my flight
3869,positive,can not wait thanks for the response
5757,positive,absolutely the staff wa amazing
5882,positive,i will have to drop by next time i visit
1624,negative,i understand that but why should i pay to change if it wa a problem with your plane if it wa weather i would understand
1549,neutral,at the airport ready to get this red eye going soooooo sleepy noplacelikehome eventhoughitsdegreesathome
783,neutral,what are the chance of my flight to ewr from pit being cancelled flighted tomorrow
3363,neutral,pres ceo gary kelly at therofo addressing of his bwi based employee http tco oiuqttz
2459,neutral,thanks wa just about to book a flight to uk using but after reading this exchange there is no way i have sent
3211,neutral,it available online i just can not figure out how to do it to guarantee same flight
2160,positive,well plane arrived pretty much on time and it is degree on the ground in texas not much to complain about
3097,positive,sorry to hear outsourcing plan boise is best staff cust service in the country boise
991,neutral,do you have any info about when destinationdragons winner will be announced me amp my best friend are hoping to win thanks
366,negative,thanks for being so bad you make a two day train trip look appealing
621,neutral,same day flight
892,neutral,app updated with passbook support http tco wrwqrublps via
4548,positive,beatriz and susan gate mco
1622,negative,gah this is so frustrating nobody ha my address here in the usa where are my bag so disorganised
2797,neutral,got transf to dividend milesneed to change flight grandma just passed need to change ticket a soon a possible update on wait time
1708,positive,yes called your uk number on skypewell worth the i recommend others do the same
5479,positive,thank you love united have flight today
3819,neutral,i would like to spread my grandpa ash in naples italy he lived in the s while serving his yr in the flyitforward
872,neutral,yea they will give you cent on the dollar
238,neutral,we have already made other arrangement ourselves
1392,negative,dear american when did hour hold time become the industry standard have you heard of additional staffing during weather
3364,neutral,still planing on flight into dal we are trying to fly in tomorrow from lax
354,negative,upon entering plane to stewardess can i have some water no we do not do that please take your seat
2905,neutral,come scoop
5673,positive,they let u know in advance of the reboot yes thanks for the attentiveness
791,neutral,so what is allowed or what is not allowed to be carried in my checked baggage
3878,neutral,see you in atl congrats to our destinationdragons winner ready atlanta http tco aygidcfa http tco ycvsiod
3042,neutral,do not want to clog your already crowded line with a special meal request can someone dm me to sort out vegetarianproblems
187,positive,all good man it is not your fault that plane is having maintenance issue
4075,neutral,are flight from columbus ohio to dallas texas cancelled flighted
475,positive,your beautiful front end design is down right now but it wa cool to still book my ticket b c all your back end wa secure
5113,positive,thanks so much
62,negative,first you lost all my bag now you cancelled flight my flight home min wait to talk to somebody poorservice notgoodenough
837,negative,force u to check our baby bag on overbooked flight complains to wife that we need to much for our baby united ha no baby meal
270,negative,what is happened to your customer service cancelled flightled flight in day amp an uninformed and unapologetic staff nolove cali
3756,neutral,make sure you take care of team amp team we are
3792,positive,thanks for the update
3400,neutral,post second consecutive full year net profit http tco tvbzbzvhg
2565,positive,i ended up on a flight to la my fourth time on standby thanks http tco nageakpa
4024,neutral,i will if you can see about moving up my brother in law graduation to the th thanks
564,negative,another delay wow
432,negative,i do not have a conference number i spoke with courtney in texas and david before that they finally fixed mine after an hour
1035,negative,in character yea right thanks for patronizing
582,neutral,free tv watching daytona bos http tco sbgbnouxy
2833,positive,definitely lot of announcement and the app is great
912,negative,you guy fail again all i need to do is use my voucher for a ticket but i can not do it online yourphonesystemsucks
2133,neutral,will you please work out a contract with to offer service there
1383,negative,shame that there is no flex to ticket transfer rule even calling from neurosurgery icu is not enough
1470,negative,flight wa cancelled flighted do i need to file a claim for the credit i am entitled to per yr bill of right or will it just be issued
213,negative,the phone line disconnect how can i be in the queue to be answered when the phone line simply disconnect when i call
5299,positive,a wonderfully nice agent in austin helped u out wish i remembered her name to give proper kudos
3078,positive,so is that two seat avail so far for u
2042,neutral,pls follow for dm
3509,neutral,no our fleet on fleek http tco ugfckermrw
849,neutral,hi we are flying into iad tomorrow evening do you expect delay or cancelled flightlations with the snow storm
1595,negative,we did not nothing wa ruined just wet just frustrating when after traveling for hour you can not change into clean clothes
1567,positive,katie gate c denver international fantastic customer service helping me and new flyer thx for amazing staff
1414,negative,now we are waiting on nitrogen for the strut and the airport nozzle is not calibrated so they are trying to find another
4611,positive,thank you there wa one here a few month ago but none now weird you do not have a club in one of the busiest airport in the u
3655,neutral,traveling with two kid tomorrow age and domestic do they need birth certificate to check in at airport
5621,positive,not necessary i am confident the excellent in flight staff will make the appropriate report
3720,neutral,flight nuw arrives at following flight from http tco ttlwzgiyag
246,neutral,i will thank you what do i do if i can not get through and my flight on hold cancelled flight
344,negative,cust serv rep who are unable to change reservation in your system check in unaware of cancelled flight that i got word on night before
1985,positive,oh my gosh seriously you just made my day week year no one will appreciate this more than me
164,positive,thanks i will catch my conection
303,positive,i continue to be amazed by the amazing customer service thank you swa
74,negative,now about two dozen back in line to see a single csr for reflight booking problem final leg kiosk on fritz
3299,neutral,what is the best way to get your ticket print off at home or go to check in desk
1300,neutral,such a bummer but i understand it is a business deal thanks for answering me much le sad now
1304,negative,get ur act together start treating ur passenger w kinder have more sanitized plane take a page from perhaps
2551,neutral,can you follow for quick dm
1301,negative,i figured the streaming would not work per the tos but just the site is taking longer than minute to load
406,positive,that is great thank you
977,positive,i think she wa having a rough moment w a bad passenger from an earlier flight thing got considerably better thanks
5222,positive,thank you i am your new big fan
3027,positive,thank you for not cancelled flighting all flight and putting my husband life in danger driving in this weather safetyfirst
3047,positive,ok thanks i sent you a dm too you can disregard that
1056,positive,thx for the grand view today flt seatac to phx grandcanyon arizona wow love photography http tco dpqouatdf
5451,positive,yes thank you oct oct
2314,positive,awesome
6030,positive,cool picture of another virginamerica plane off our wing what a site http tco bagfdc
1262,negative,how about plowing the snow at a gate before the plane arrives so we do not sit for minute after an hr flight fail
2493,positive,thanks just a program comment the system assigned seat behind each other even though pair were available i changed it back
2464,positive,me too love living so close so i always have great view
701,negative,we have now lost a whole day of our honeymoon very disappointed and frustrated with everything
1876,neutral,rt our fleet on fleek http tco pkiqhi
4117,positive,bingo thank you for bringing this to our attention we will be happy to reach out to noah so we can make this right mr
2702,positive,please acknowledge attendant jeff wernicke beat in class and service on sw
1836,positive,awesome thanks
956,positive,one heck of an airline http tco cynzftdc
809,negative,customer service say since my wife setup a family account that she now can not join mine for a year help me fix please
793,positive,one lady helping the of u with luggage
5003,positive,look like our bag ha been rescued thanks
194,negative,do not bother they do not pick up the phone worst customer service going
1164,negative,can not help now a all seat have been taken there ha to be a way to handle high volume of call day
483,neutral,if i know i left something on my last flight a i literally had to run to make my connection how can i retrieve it please
507,negative,you changed my aadvantage travel plan amp i called to get help but it sea ur too busy amp hang up on me what give
282,negative,i understand that but i am not even being put on hold it say try again late flightr goodbye
3080,neutral,can you help with a seat assignment people flight phx to hnl seat are split up anything you can do will be great
1084,negative,our flight aa is delayed out of providenciales and will be missing our connection aa in miami to sea who do we call
1122,negative,ohi already have turned itover to them but apparently losing someone is bag on their honeymoon doe not require accountability
2150,positive,karen riedel is a rock star employee and a miracle worker i really appreciated her help this morning
1287,negative,then why did your staff refuse to let me on the earlier flight citing my having checked a bag
312,negative,is really going to hear my mouth about this bag situation
1232,positive,thank you
1282,positive,thx ops agt rich westagard n flight att nancy den airportheld flight n even saved seat bus select customersfirst
3143,positive,kept me watching the safety video for the first time in forever nice job
1967,neutral,quick question to pay for a second bag do i have to do it online or can i do it at the airport
3003,neutral,thanks so i will like to get the new tail njb njb boston red sox livery so i can share with talk but send them only on weekend
1111,negative,what is wrong in boston why are only your plain not leaving tonight son need to get back to state college pa
967,negative,aa this is a joke right that line is not even accepting call right now they just hang up
4971,positive,simply amazing smile for milesthank you for my upgrade tomorrow for ordwe are spending a lot of time together next few week
4915,positive,i love imagine dragon of flipping much pls destinationdragons
447,positive,dude named shaquille at the desk in charlotte wa incredibly professional and helpful v some crazy angry people tonight
3067,positive,i tried that they will not book u with another airline i wish i had flown with you we are now stuck in fl til wed
279,negative,priority baggage evidently mean it come out last
1516,negative,look like their inflatable car seat got left on the plane so i guess they will be back sometime savethoseseats
6077,positive,i hope i get the opportunity to join the team with this job opening
271,negative,from sfo to hnl with zero entertainment systemsyouareonyourown
2301,neutral,our fleet on fleek http tco uaicfjrms no way
413,positive,thanks for your helpgot me what i need but it an issue with i guess i sit awhile longer
1437,negative,it is more than technical problem frustrated answerthephone re on hold and can not get thru to use a credit to pay for it
2319,neutral,when is the last chance to get destinationdragons ticket i would die of happiness if i won
5830,positive,that is classy
1196,positive,vega san francisco baltimore san diego and philadelphia so far i am a very frequent business traveler
693,positive,i hope i can be apart of the team with this job opening
1419,negative,i need someone from management to contact me i wa flying to a funeral will not make it now to add to my pain they want me pay
5536,positive,i may not hit any new status this year but i have flown several time this year and have tried to book with you all every time
2215,neutral,check the head of the plane there ha been dynamite placed onto it
3106,positive,thanks for taking it up a notch leinenkugels craftbeer goodflight norfolk http tco tgsljjng
3561,neutral,i had to travel to savannah ga once again on an airline i do not love when r you going to fly me to savannah pleeeease
4020,positive,oh definitely i kind of only fly jetblue
1698,neutral,are you guy going to be giving away any ticket for at destinationdragons
2477,neutral,are flight from pensacola fl delayed flight
669,positive,i appreciate the follow up
1504,positive,claudia in iah terminal b travel assistance ha me all set great service thank you
814,negative,what is the point of a baggage claim ticket if they do not scan it for tracking
736,neutral,okay just signed up
462,neutral,thanks
2109,neutral,you do not have to do this our fleet on fleek http tco izfofgjzui
1609,negative,sfo p schedule is still mia
1319,negative,an hour at baggage carousel and still no luggage nail in the coffin
5,negative,why did you load u in this flying sardine can if you knew the pilot were hour late flight incompetent beyond belief
207,positive,you guy did an amazing job today know it hard thanks to kate appleton for all her hard work reflight booking problem my friend and me
5593,positive,no worry about the tweet we all should do what we can to make sure we a in your tag line fly the friendly sky
315,positive,it always a pleasure
294,negative,seriously flight delay cinci to philly due to new ground staff miss connection to man uk and now have to argue for hotel wtf
3446,neutral,come on and provide service from destin fort walton beach airport
2604,neutral,my driver license is expired by a little over a month can i fly friday morning using my expired license
3048,neutral,what is your pet policy
687,negative,http tco hjkqchn however is completely under your controlthe price wa and still is displayed on http tco hjkqchn
1664,neutral,group cancelled flight close to a thousand flight monday http tco vradykep
1140,positive,thanks for leaving our year old in his own row flight lax iad
1863,positive,loving the boarding to go to chicago keepitmovin
683,negative,ice which i totally understand but when a large number of u are facing hour of time and overnight cancelled flightations it seems like
3492,neutral,i applied for a position in and i wa wondering if you guy received my application
1118,negative,finally about to take off thanks for the customer service by the g rep c ctl any idea what caused the system failure
667,negative,tough i can take zero meaningful assistance while stranded for day is another matter looking for sign you care abt cust
627,negative,my mistake multibillion dollar company
93,neutral,lgjwb i voluntarily rerouted st leg of journey wa in economy and wa supposed to be b re agent said she would reserve it for me
2498,neutral,is yr site having trouble for mobile check in
3586,neutral,basically you right now http tco inbpbdw
1910,positive,thanks we filled it out how is our luck with this is it common
1328,negative,ha time to respond to everyone el complaint but not mine you just lost a customer
2020,positive,there is just so many choice for you all south of the border and i know not every airline is equal lowest price best value
3536,positive,yes thank you appreciate you checking
4227,positive,thanks
5669,positive,ty for your consideration
559,neutral,flight on thx
3596,neutral,can you follow so i can dm you
234,negative,what a disaster flight missed passenger count by since it wa done manually really
512,negative,flight is full
3971,neutral,absolutely required are the flight going to be cancelled flighted
3630,neutral,i have
1979,positive,exicted to be flying with you all soon
3740,positive,no worry you are doing the best you can already cancelled flighted my biz trip still love you rr
733,negative,a change fee of same exact flight from atl hou is why a charge of the math doe not add up
55,positive,thanks so much for help u you r amazing
2832,positive,we are pulling off the runway now making new friend with seat mate thanks for the response cb
4497,neutral,any update on the computer outtage affecting flight is this national or just northeast eta on resolution
2677,neutral,when will date to fly go past august
690,negative,are the mile going to be restructured help a silver status brotha out i thought i wa winning with you guy until today lol
5436,positive,sure is
1223,negative,car accident on my way to the airport missed flight from rno to dca trying to resched but your line ha hr wait
717,neutral,i want a hotel room and a whiskey
4427,neutral,just realized my love voucher expired today any chance of getting some love with an extension please veryloyalcustomer
1465,neutral,thank you what about paris could we arrange something from there
4197,neutral,my credit card company accidentally marked my jet blue ticket a fraud then corrected their mistake and reposted the money
5381,positive,fabulous thank you so much looking forward to taking to the sky with you
6035,positive,anna palm spring gate deserves a medal handled ppl missing flight like a pro
1150,positive,el paso dealsmay
1394,neutral,could you guy follow me so i can dm you all please
1691,positive,flight booking problem flight for a dc visit for easter weekend started difficult but ended well with you guy big fan here
4121,neutral,just sent dm with confirmation number and passenger name on swa mco gtcmh
772,neutral,i would love to know what your policy is for damaged luggage
1028,neutral,what is the status of the bag check area at ffl
4640,positive,finally made it to rep who solved my problem
2336,positive,thanks to the whole team for an on time flight despite inclement weather http tco eqepkkpsxm
1447,negative,i will send an email with detail late flightr thank you for responding
251,negative,great decision making skill flight ops iah bag make a minute connection and i do not flight pushed early disappointed
3760,positive,my flight attendant angel wa awesome kudos
3174,neutral,yes please
1082,negative,we are trying to fly back from orlando to bwi the website ha crashed and no one answered the phone help
3238,positive,yesterday on my way from ewr to fll just after take off wheelsup jetbluesofly http tco xkiykqj
1573,neutral,northern california coast http tco nmvnnfkb
4546,neutral,i hope so the plane doe appear to be leaving a nearby terminal for our gate
3754,positive,wow what an amazing video http tco dbcvepnqc great world guy bluemanity corevalues passion aerojobmarket
1418,negative,can you get me on the delayed flight to ewr out of yyz at no customer service to be found in airport
1240,negative,is terrible my flight cancelled flighted and i have been on hold for the past hour never again
1114,negative,sure wa with look like i will make my birthday celebration after all
1497,positive,thank you for the reply i will fill out the form and submit it a requested good to know you are paying attention
2406,neutral,i would love to fort lauderdale now that would cool
436,positive,you guy held our flight thank you about to take off from mdw now to oakland thanks
657,neutral,i tried it is okay
3946,neutral,oh i will disney bound workhard playsoon
4016,neutral,well i try see you soon
2756,neutral,is it only for my nd bag st bag too full
149,neutral,to allow payment by apple pay patriarc http tco bduauzfhw
21,neutral,any possible chance of swa bringing back service between lga bwi it would make it much easier to connect to the west coast
445,negative,still waiting for bag from flight it landed an hour ago
5291,positive,thanks see you soon
4372,positive,utah i think and thanks
4046,neutral,what happens to frequent flyer mile earned once merger is complete with aa
1203,negative,wa switched to an american airline flight not by choice and now i am charged for bag thought you all merged
80,negative,f denhx impressive lack of concern by hr late flight flight attndt wrecking havoc on customer travel smugsmirk norush
3624,neutral,companion pas please
1316,neutral,kewl will also let them know the overhead bin over my row wa inop i love a good abbreve
3335,positive,do not show these to larry fedora rt our fleet on fleek http tco qqlzkjkzr
1007,negative,i would really like to get off of this plane now
969,neutral,even year after the earthquakehaiti still need help in rebuilding flyingitforward
1914,neutral,a true americanview the national mall http tco nexdbcrhg
1815,positive,thank you good suggestion i checked and we were not rebooked we will keep checking and looking for other flight
1574,neutral,if you are giving tix to destinationdragons show would appreciate one or two for laflying from phl to lax on friday
151,negative,no you are not you are trying to book me past when i need arrive but you are still selling seat on the day i am trying travel
2284,positive,is officially my favorite airline they have created magic for me all day friendlyskies careyon
1260,positive,i am looking forward to watching the oscar on my flight home tomorrow i might even get something bubbly to drink
1598,neutral,any idea if there will be any spring sale soon for travel from late flight august to early september going from pa to lax
668,negative,i am confused after your agent directed u to go to your website after delay nothing work http tco cyprhegok
45,neutral,can i get your service desk at iad
5382,positive,sivi stewart at lax wa fantastic tonight helping to find a lost item for u at the airport much thanks
1785,positive,holy fuckinf shit
4185,positive,sent thanks vp
3738,neutral,i just checked in online for tomorrow flight thought i should get auto upgrade already got the email saying no seat
1592,negative,priority should have been made considering a pending snow storm why delay a flight for an hour amp a half i would like an answer
2277,neutral,easy fix let the business select actually board st then board the pre board
1864,neutral,tomorrow would not have been soon enough thank you for the info
4793,positive,thanks for the lovely soft view travel san to sfo http tco cnctlgef
1466,negative,i am still trying to get thing worked out and you have yet to respond back
1160,neutral,trying desperately to get my boyfriend booked on the same u airway flight a myself for the same price can you help
438,positive,thank you
1503,negative,you never got my wife to her destination and you expect a goodwill credit will make everything hunky dory you blew it
3220,neutral,do you still use dc
643,negative,airline st amp only time i ever fly your airline what a disgrace i should have listened to your tweet horrible
1359,neutral,death in the family can not make flight tomorrow phone rep quoted per person fee which is almost the cost of ticket help
3280,neutral,please reroute oregon woman tennis to santa barbara there is supposedly another connection from la
3132,neutral,hi i just booked a flight but need to add baggage how can i do this
347,neutral,i wa under the impression when there is an hour delay in your flight because of equipment failure compensation is offered
4517,positive,cc boldflavors were bringing bourbon st to ft with bold flavor fresh ingredient and more dining option
175,neutral,me and my wife will be flying out of atlanta to vega on march th since could not get any out of tricities here in tn
1741,neutral,ha flight number from sfo to cabo san lucas arrived yet
101,negative,min on hold drove hour to get my delayed bag i just want to pick it up at sju
2492,neutral,do you know what flight the pilot for are coming in on thanks
4435,neutral,do you have any flight with lie flat seating from stl to p on or around the date of march
208,negative,you really need some customer service training for your unhappy ee in the morning in chicago gate k at chking her schd
4752,positive,seems a few of my friend speak highly a well now we just need to find a decent priced way to go from yvr to sea and overnight
5468,positive,fantastic job by your people today on ua from dublin a jam packed plane but the crew wa wonderful
1736,neutral,my pr class would love to know who is in charge of your twitter how many people write your tweet gracias
2605,positive,awesome thanks
1315,positive,just got minenow where to go
470,negative,nd time this occurred in week i am not patient i have no choice antitrust issue
4136,positive,thanks so much my passport wa recovered
147,positive,thanks jb actually a a birder i love them too they just need to be outside it should not be too hard to trap and move them
1152,negative,if only the show wa on the flight no abc oh well i will live nexttime andthewinneris
1116,neutral,reference
605,negative,we had a friend there telling the gate attendant and the stewardess what wa going on notourfaultyoudontuseyourgatesright
1109,negative,bad customer service to nyc a few week ago thinking of moving on
1913,neutral,all were entertaining
697,neutral,once again on glassdoors best place to work snagging overall notsurprising luvthem
295,negative,this is the line in denver to rebook due to weather issue do better http tco tmccexyaaq
1063,negative,i did and it is been a disaster you had me sitting on the runway only to bring the plane back to the gate smh
3336,positive,aha ok thanks wa worried there might not be a seat at all will do it at the airport tomorrow then
228,negative,we have to stay in chicago overnight and meet up with our bag there i hope they stay put and do not get put on a flight
1173,negative,hey guy why did my last flight earn me pt http tco sywlmtzek
964,negative,how long will it take for mile that i re purchased they had expired to show up i recieved an email that the request had been
5644,positive,flight plane from sfo to den is basically on time
1545,negative,they have all of this at hotel still do not have my work folder or business casual clothes worst http tco jieycatek
5087,positive,great flight experience again sfo jfk dare i say it a consistent high quality on a legacy airline keep it up guy
894,neutral,i took a screenshot and emailed it to myself let u dm and figure this out
4448,positive,finally got through and they were very helpful appreciate it
1646,positive,good luck at dfw this evening aa
664,negative,jfk nyc staff is amazing the lax jetblue sending an email with detail but it wa a disappointing experience
630,neutral,i would
4560,positive,you all the real mvp with these price
2572,neutral,thanks will you guy be getting the a anytime soon
439,positive,success made flight please thank the crew of great time recovery
1250,neutral,is your partnership with hawaiian live earn hawaiian mile flying jetblue if so how do i add to my jb flight booking problem
3705,neutral,tomorrow from ric to bos looking good or am i better rescheduling
3437,neutral,from lga to san diego
3274,neutral,s ceo battle to appease passenger and wall street waterbury republican american http tco ofpfvqpoy
4387,neutral,yes i want to complain your coworker wa neither is there a customer service point airside
1623,positive,thanks for sending my kid to the destinationdragons concert vega so awesome http tco gbeasz
1006,negative,you need to have a look at your handling of flight and company of yours size should have protocol in place to help
4056,neutral,it wa at jfk airport right now
609,negative,stop ur b promos of anywhere starting at i click and everywhere i would fly the only place that is is cle nothanks
1999,neutral,will my known traveler no transfer over from when i check in at t a an aa elite i can get choice seat
818,positive,firstclass to london on my way to londonfashionweek lfw
4537,positive,i hope you like the photo http tco pfsluxegw
180,neutral,no worry you are swamped i know just dmd back thank you
2819,neutral,i intend tovery much my follower will a well
525,positive,joni did a great job on flight to lax thanks for a great flight
3072,neutral,or she
584,negative,my option is to use twitter most of the people working for you have no clue what they do they tell you to go to a but it b
2172,neutral,i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me
601,negative,gotcha but lessening the delay that part not happening right
1469,neutral,sure just dmed you
173,positive,thanks for your attention i have been flying southwest for year and have not had this issue in the past
3263,neutral,alright someone ha to stop this rt our fleet on fleek http tco lchvjolidg
359,negative,a a k i am always hoping for improvement
4581,positive,this is great news america could start flight to hawaii by end of year http tco rpzyfe via
1468,positive,friendly engaging personable handled clarifying question about baggage fee well and took an interest in what i wa doing
3418,positive,it a wonderful thing
2184,positive,just got off the phone customer service only minute to get my issue resoled you guy are awesome
44,negative,do you do auto callback so i do not have to wait on hold
417,negative,unfortunately had a bad experience flying with you on saturday inpolite crew bad delay
