index,type,statement
1520,negative,you are the worst airline in the world from your crap website to your worthless app to your late flight flight you suck just shut down
259,negative,last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies
1981,neutral,delete this tweet
395,negative,you may dislike delays but i paid you we had an agreement that i paid you and you got me to my destination at a certain time
1047,negative,unable to access the website will try again
5451,positive,yes thank you oct 25 oct 31
5865,positive,great flight got us back on time thanks
4243,positive,now flying non stop cmh oak has me daydreaming about a trip to the bayespecially in this weather ohioprobz
1371,neutral,i believe you have to follow me in order for me send you a dm
188,negative,while i am sensitive to this fact i do not believe that warrants poor service a little help &amp compassion goes a long way
663,negative,was not just a delay your counter would not take a valid cac card as a valid id which is needed for a tsa precheck on pass
251,negative,great decision making skills flight ops iah bag makes a 10 minute connection and i do not flight pushed early disappointed
3018,positive,fav airline
4147,neutral,celebrates 15 year anniversary with new livery   digital journal httpskeptical_annoyed_undecided_uneasy_or_hesitant tco u5hxri6crx
598,negative,i knew the 3 4 hours sounded odd missed a flight we hit jfk an hour early for and your gate attendant told us 3 4 frown_sad_andry_or_pouting
3174,neutral,yes please
358,negative,still crickets from customer service
4981,positive,i see what you did there wink_or_smirk
1038,negative,yes dale at baggage office was wonderful but not everyone is on the same page down there we had a 6 hour wait
64,neutral,anywhere httpskeptical_annoyed_undecided_uneasy_or_hesitant tco fefhpmfple
4201,positive,the chairs could use some tlc and more power outlets in the area would be a bonus headed to 
153,neutral,will do i also passed the website around to other passengers
4277,positive,keep it up happy_face_or_smiley
1027,negative,am i flying on spirit air
5106,positive,arrived in san juan early thanks for a great flight love you
3408,positive,thx for smooth landing today  we applauded now what can you do abt the weather takemeback httpskeptical_annoyed_undecided_uneasy_or_hesitant tco oqz7wc4lla
3789,neutral,some compensation eg upgrade to higher class for my rescheduled flight to muc todayconfusion will be appreciated though wink_or_smirk
3310,neutral,works with google chrome but not internet explorer
1094,neutral,ahhhh yes lauren
1097,negative,why are your sfo &gtbos nonstop flights not competitively priced with those of jetblue and virgin 179 vs 324 identical times
3090,neutral,can you change dkyde6 to 4583&gt36 on 2 23 instead of 3636&gt606&gt36 original reservation was for 4404&gt36 yesterday but was cancelled flightled
5668,positive,thank you for the delta transfer will my bags go too
4985,positive,thanks for the epic service on 863  always a pleasure  outstanding crew httpskeptical_annoyed_undecided_uneasy_or_hesitant tco trqlpeinzw
3575,neutral,i got it now would not let me log on with my email thx here is hoping for dtw ase without issue today
500,neutral,looking for status of flight 1388 schedule for 515 am tomorrow morning thank you
3426,neutral,what happens when you combine top chef &amp the beauty of san miguel de allende my late flightst food blog httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 7t1rdrcre6
3421,neutral,will do i will tell him you say hey
4731,positive,definitely
1315,positive,just got minenow where to go
661,neutral,hi there i am flying myr clt ord tomorrow is weather looking ok or problematic
682,neutral,i did not make a reservation yet it is about changing name on my dividend miles account
3218,positive,finally through thx
1146,negative,i know after an hour i got a live person it messes up our arrival and car plans at two airports and is costing us more
1430,negative,never imagined it would be so hard to spend money through us air stubbornly hoping someone will come back to the phone
3403,neutral,salted or honey roasted i vote to bring back the salted peanuts i dread a year of the honey roasted httpskeptical_annoyed_undecided_uneasy_or_hesitant tco rhw78ktqfo
5473,positive,thank you happy_face_smiley
5021,positive,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
2842,neutral,off to vegas httpskeptical_annoyed_undecided_uneasy_or_hesitant tco aygaoeb6uu
4739,positive,another awesome new plane flight 1584 and extremely nice captain steve connolly
5876,positive,thanks
1111,negative,what is wrong in boston why are only your plains not leaving tonight son needs to get back to state college pa
4059,neutral,any delays on tonights flight from dfw to sat i have family members on board
4266,neutral,seat 14a flight ua895
522,negative,you are beyond redemption jfk baggage claim looks like a luggage warehouse
379,negative,lack of communication with other offices the customer &amp you all never update ur systems you guys are 2 established 4 this mess
1124,neutral,ua6357 needs de icing stat we have waited our turn
4740,positive,karen with customer service was very helpful thank you for providing one bright spot in a frustrating situation
884,neutral,who should i contact about a missing rapid rewards credit
572,positive,i still think american airlines is greati would just like to be treated better loyal customers first right
911,neutral,is there a referral program for the milageplus explorer card
132,neutral,mobile boarding passes now available in ios passbook httpskeptical_annoyed_undecided_uneasy_or_hesitant tco xmrvr4lgeg httpskeptical_annoyed_undecided_uneasy_or_hesitant tco wjoc9f14su
1403,negative,they could be seen if your horrible customer service group would actually update the information never fly american again
85,neutral,just played the most bizarre safety video i have ever seen httpskeptical_annoyed_undecided_uneasy_or_hesitant tco hlm2oks6xl
40,negative,so you fail again flight to rdu sitting waiting on flight attendants your logistics are not good
3251,positive,tv stream means i get to spend my flight watching 1999 and 2011 womens world cup finals throwback bestflightever
37,negative,hi i just got a message that part of my flights is cancelled flightled i can not rebook online and nobody answers my phone call help me
1148,neutral,what is going on with us airways flight 805 why diverted to charlotte
5621,positive,not necessary i am confident the excellent in flight staff will make the appropriate report
835,negative,his cell phone record needs to be checked to see who did conversed with i trust the faa can handle this better
192,positive,thanks her 80th bday is saturday we are having an aviation themed surprise party for her
1364,negative,headed to nyc from clt funny to hear all phones ring at once and then the entire plane groan has happened twice moreconfusion
3847,neutral,are we scheduled to depart as scheduled
3762,neutral,s in flight promo on their tvs includes brian williams tough to edit that quickly not a complaint just an observation
1588,neutral,flight 2302 from jfk to buf
2047,positive,and a huge thanks to the crew on flight 1348 who flew in to dca from sju monday night in the snow so we could have a plane
1545,negative,they have all of this at hotels still do not have my work folder or business casual clothes worst httpskeptical_annoyed_undecided_uneasy_or_hesitant tco jieycat1ek
213,negative,the phone line disconnects how can i be in the queue to be answered when the phone line simply disconnects when i call
1319,negative,an hour at baggage carousel and still no luggage nail in the coffin
1164,negative,can not help now as all seats have been taken there has to be a way to handle high volume of call days
88,negative,do you not try to get customers to their destinations no help to get on another airline if you had no flights for 3 days
1967,neutral,quick question to pay for a second bag do i have to do it online or can i do it at the airport
472,neutral,yes fyi my bff
1260,positive,i am looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink wink_or_smirk
3679,positive,thanks for letting us know hoping for no more delays
1617,negative,not letting me dm  is fsz4yo
297,negative,failingyourcustomer one by one
269,negative,4 hours on tarmac in charleston and still can not get a response after a week unacceptable
1394,neutral,could you guys follow me so i can dm you all please
1426,negative,is really good at deferring responsibility
4205,positive, those are very beautiful photos thx would marketing dept be interested in buying
3180,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ghjbp5gg67 why
768,positive,keep up the great work happy_face_or_smiley
414,negative,you airline is doing rather poor right now in slc waiting to take off was suppose to take off now 2 hours and 3 minutes ago
4213,neutral,how much is it to check golf clubs on a flight they might be oversized
3381,neutral,got a callback at 1 am took care of it thanks
3706,positive,credit to you for replying ill look forward to hopefully one of those 103 on my flight home tonight happy_face_or_smiley
1465,neutral,thank you  what about paris  could we arrange something from there 
1292,neutral,you should still develop an app   then you will be my favorite airline
4799,positive,that is awesome love flying swa
959,negative,now what you cancelled flightled my flight again are you paying for my hotel
4784,positive,i will i love flying with you all great service
185,positive,i love and appreciate the fact that you guys rarely cancelled flight flights and are on time but i need a cancelled flightlation this time
1983,neutral,  did swa send out customer surveys to earn 100 toward flights is this legit
1001,neutral,check your dm pls
329,negative,can you connect me to a person without having to wait 2+ hours on hold i still have not been able to resolve the problem
764,positive,i will pass along the advice you guys rock
2021,neutral,hi my relatives flight booking problems number is my8yb4 her name is clarita jaramillo mejia thank you
309,negative,now down to only one agent helping a stagnant line of almost 100 customers super
515,negative,gates were definitely not full we were parked and wheels were chocked customer service called it an unmet arrival
11,neutral,what is the easiest way to get a ticket receipt can i get one at check in or can i get one online thanks
792,negative,us 728 pilot started the flight by announcing arrival into gatwick not heathrow moments of concern for all aboard
3,negative,that is horse radish
1413,negative,thanks for the responsetough night for all involved our flight got cancelled flightled as we started taxiing down the runway
494,negative,now on hold for 25 hours waiting to speak to someone about my cancelled flightled flight from philly to orl
217,neutral,how do i get a copy of my last flight showing original time and delay i need it for work thanks
633,negative,my wife and i will be sharing this dreadful experience do not pretend ua cares about young girl traveling alone  united airlines
4620,positive,i would love for you to fly my best friend home to pvd for a weekend httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ch0nmjymgh
1219,negative,broke my suitcase &amp refuses to give me a repair estimate httpskeptical_annoyed_undecided_uneasy_or_hesitant tco zouowgv3q6
1023,positive,i will thank you
1166,negative,no wifi on ua688 sf to chicago 2015 that is all ps this tech intro video is a joke epicfail
1088,negative,your saving grace was our flight attendant dallas who was amazing wish he would transfer to delta where i would see him again
601,negative,gotcha but lessening the delay that parts not happening right
917,negative,thank you hopefully it is soon we are supposed to leave at 1123
1235,negative,you could train your flight attendants to have some manners and decency
4908,positive,on the plane but thanks maybe do not let so many people check in by themselves   teeming with morons
223,negative,ticket counter people here are not helping and just want to charge more money even after this horrible day
930,negative,how is this considered on time if it is arriving at destination half hour late flightr than scheduled httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ymftw1uyhr
1593,positive,we are here at mco thanks
2929,positive,great thank you
1163,negative,2 trips in a row with missing luggage just like last time i pay for baggage to be transported
2825,positive,dad on segway is the best part of this whole infographic
1368,neutral,thanks i get that it looks like all bwi sjd services stops after aug 7 is that the case i can not find one date with flights
1289,neutral,why is it from june 1 thru december 31 there are no bus first milesaaver awards available from cun to nyc explain whyfly
1488,negative,well as of yet our checked bag has already vanished and we have not left the airport yet
554,negative,  you sure missed the mark on tonights redeye from lax to chicago what a mess you can do better
5401,positive,thanks
2928,neutral,my flight continues through to vegas after my stop do not be upset if a stowaway
3151,positive,would not mind paying for the snacks but no  for tix happy_face_smiley great job guys
2800,neutral,we are glad to hear it out of curiosity what causes such flight patterns
359,negative,as a 1k i am always hoping for improvement
2192,neutral,are there any food places open at the jfk t5 24  
248,negative,yes there were plenty of seats available so why did vicky thomas refuse to give one to a million mile flyer
239,negative,cannot add my frequent flyer number on your website can you help
3754,positive,wow what an amazing video httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco dbcvepn5qc great world guys bluemanity corevalues passion aerojobmarket
860,neutral,i can not i do not have acces to a phone rn my iphone broke skeptical_annoyed_undecided_uneasy_or_hesitant would rather change it now then late flightr
386,positive,thx to customer service rep alex for his patient help in reflight booking problems a cancelled flighted flight and getting us where we have to be tmrw
3568,neutral,can you tell me why flight 1542 from dfw to phl was cancelled flightled for tomorrow
3269,positive,you guys have such big hearts keep up the good work
407,negative,as usual my next flight shows on time but it is suppose to leave in 5 minutes and has not boarded
50,neutral,and that you can choose the same seat for free after clicking 100 buttons
3750,neutral,there is a sector whereby it says 0 in both bagsno bag allowance at all in international flight
4434,neutral,my phone number when you have any news for me is 631confusion891 5722
5345,positive,i love this airline so much thanks so much the service is great the snacks are amazing everything is outstanding thanks
2172,neutral,i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me
524,negative,deplaned for the 3rd fucking time fuck you aa
2220,positive,so sorry i ended up on us air flight thank you though for getting back to mehappy_face_or_smiley
3038,neutral,teyana taylor performing medusafridays 227 free till11 httpskeptical_annoyed_undecided_uneasy_or_hesitant tco qwfmoq0dql httpskeptical_annoyed_undecided_uneasy_or_hesitant tco kbb0b5fxmk themenofbusiness
206,negative,yepused that twice no case id numbers assigned just tried it again get screen that says thank you for submitting your request
1056,positive,thx for the grand view today flt 3825 seatac to phx grandcanyon arizona wow love photography httpskeptical_annoyed_undecided_uneasy_or_hesitant tco d7pqouatdf
4210,neutral,like continentals chicken feat fairs
4372,positive,utah i think and thanks
4516,positive,you are welcome httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 67k4n9eq6e
1073,positive,i will stick with flying for free any where that southwest goes my son works for this wonderful company and moms fly free
531,negative,my flight has been delayed &amp i can not talk reach anyone in customer service because of high call volume
1044,negative,probably would not be doing it had someone returned my call or email case number 8273993
339,negative,4hrs late flightr i get a call back and immediately disconnected
751,neutral,is the 1750 bonus at 1800flowers still on or did it expire 2 14 15
4254,neutral,thank you but i will be cancelled flighting my return flight as i have already rebooked with another airline so i can get home today
836,negative,4 of us are stranded and flying from new orleans to huston tonight and we will be stuck there for two days rather fly than wait
179,negative,i do not know  no one would tell me where they were coming from   i would guess so as that is where we had all the changes to flights
1456,neutral,i digg it
834,negative,why is your website downnnnn frown_sad_andry_or_pouting ugh
1939,neutral,omgee onfleek why why how many people even know what that means lol
1165,positive,thank you
5834,positive,hi i just saw a black history month commercial on tv &amp i am excited in support of this monthwill you all grant me 1 free trip
944,neutral,did not realize no clothes until at hotel   suggestions
3769,neutral,lmao you all  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco lqjt2jvoys
38,negative,i need updates on my flights 464 &amp 3574 i have been on hold for over 2 hours
312,negative,is really going to hear my mouth about this bag situation
1093,negative,according to your dms i am not owed a refund please may i be provided with a contact number before i go to my bank to file claim
365,negative,from the air another missed cnxn 2day atc went on strike in belize this am now family &amp i miss cnxn in ewr please see my dms
3967,neutral,3659 from sgf  &gt dfw you might want to clear off the ice for the planes landing
574,negative,in the future when delay causes 15 hour wait slept night in airportconfusion ensuring seating choice for replacement flight would be good
275,negative,after waiting for a delayed plane we sat on the plane for an hour waiting for a late flight passenger that is bs too
643,negative,airlines 1st &amp only time i ever fly your airline what a disgrace i should have listened to your tweet horrible
948,positive,is my favorite airlines i have never had issues with them plus there crew is entertaining
1552,neutral,southwest is currently awaiting government approval for this route do we know when it will be official
769,positive,shavon at customer service desk in charlotte was fantastic so helpful and smiling evn after what sounds like long dayreward her
811,positive,yeehaw you found us another plane thx for listening to me vent
1382,negative,  hopefully that will help someone in the future would there have been a different procedure if i had discovered the theft sooner
1639,neutral,can you help with flights to get a 2y old battling cancer who needs treatment in
94,negative,nashville airport has runways open it appears southwest is only airline cancelled flighting flights is this likely to change
2152,neutral,minutes to spare
952,negative,it seems like no one from united can help me lots of fingers pointed zero people stepping up at least the gate has oreos
695,negative,i spent 600 on my flight could have gone on for 382 but their mileage program sucks
477,positive,annnndddd i just booked my flight that was easy
5536,positive,i may not hit any new status this year but i have flown several times this year and have tried to book with you all every time
33,positive,oh that totally looks on par with s admirals club any way you can slide us a couple passes wink_or_smirk
2199,positive,feels like a good day to fly thanks for the ontime departure to snahappy_face_or_smiley bestinclass 30000ft takemehome
197,negative,what an incredibly arrogant thing to say while i sit here at ofhare waiting for your incompetent airlines to refuel on a
1244,negative,i fell asleep from a call i placed midght guess what still on hold 7 am
540,negative,you lost a customer today flight today was cancelled flightled and i had to find out by calling customer service yesterday
427,negative,i interviewed yesterday as a flight attendant i was the last person the recruiter said they lost my file n came back to interview me
343,negative,i am rebooked now but the line was 300 people deep
1538,negative,i know that thanks for the standard reply
648,positive,why are you always so amazing jetblue trueblue httpskeptical_annoyed_undecided_uneasy_or_hesitant tco iimtjxcvlg
4288,positive,great job with the passbook integration it will really help streamline the commute to san fran
1876,neutral,rt  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 826pkiq5hi
2277,neutral,easy fix let the business select actually board 1st then board the pre boards
1209,negative,thx come hell or high water
4557,positive,ooh good one speaking of miamore   just know that iadore httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco fwzclbvug4 loving lovesongfriday
335,positive,the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air
3066,positive,  whoooo hooooo just crossed 25367 at my current pace i should reach 152202 for the year
1016,negative,web app will not let me upgrade seats call center wait time is 20 minutes plus just want to get more legroom but it is a pita
889,negative, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco tlgoihqkvs make it stop
255,negative,you asked me to dm then ignore them please assist in changing to another flight today  21 feb fra to mco avoiding iad
791,neutral,so what is allowed or what is not allowed to be carried in my checked baggage
2475,neutral,now out of a gates and into main terminal dca members keeping watch from atct avgeek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco hpsieaokwh
5084,positive,yup we know not your fault just not ideal sittin for over an hour but as always your staff is great
3886,positive,thank you
3851,positive,you have the nicest gate attendant at newark airport gate 101 right now multiple delays and she is still pleasant with everyone
1301,negative,i figured the streaming would not work per the tos but just the site is taking longer than 5 minutes to load
1262,negative,how about plowing the snow at a gate before the plane arrives so we do not sit for 45 minutes after an 8 hr flight fail
1762,neutral,contact via fb messages twitter dm or text
3543,neutral,if you would love to see more girls be inspired about becoming pilots rt our free woaw event march 2 8 at abq httpskeptical_annoyed_undecided_uneasy_or_hesitant tco rfxlv1kgdh
4299,positive,well i did miss it but gate agents had rebooked boarding pass waiting when i landed time for lunch &amp a beverage easy cheesy
69,negative,flight veers off icy runway at most dfw flights cancelled flighted mon httpskeptical_annoyed_undecided_uneasy_or_hesitant tco q37pown6uv figures right
1604,negative,even tho the extra 5 lbs are still going on the plane just as a carry on where is the sense what do you say to fat people
5830,positive,that is classy
1362,negative,hidden city forces me into crappy seat even though exit row is available on the first leg your support cannot fix frown_sad_andry_or_pouting
1501,positive,ok no worries thanks for the straight story it is appreciated
1635,positive,i can not say what airline i am on right now but i sincerely miss you bestairline
1621,neutral,stahp rt our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco bm2unraoni
423,neutral,any way you can help with entry to vegas event my boyfriend &amp i have been fans since 2009 they are awesome
1412,negative,loses my luggage and loses my reservation after a 10 hour travel day i just want to get to in the am
5087,positive,great flight experience again sfo jfk dare i say it a consistent high quality on a legacy airline keep it up guys
1497,positive,thank you for the reply i will fill out the form and submit it as requested good to know you are paying attention
1390,neutral,just now but no general announcement
2603,neutral,is helping me step up my game tindertips tinderchamp httpskeptical_annoyed_undecided_uneasy_or_hesitant tco jbmvvha63a
714,negative,serious potential for a want to get away commercial out of this debacle but for real you should fire
348,neutral,looks like on february 19 2015 we will open our schedule for sale through october 30 2015   know what time that will be
541,negative,still waiting for a flight i should get my money back
5479,positive,thank you love united have 4 flights today
1344,negative,just called reservations cannot change just able to put note on res problem is tsa
4068,positive,s flight flight booking problems experience is pretty great
3104,positive,you guys operate a world class company and for that i thank you
4987,positive,my pleasure next aa flight   this wednesday to milan italy for    see you then happy_face_or_smiley
95,negative,no my flight plans have been delayed until tuesday due to your computer crash
2997,neutral,i6ep18
5747,positive,lady at b1 abq for 5347 on 2 23 was of a great service to all among several cancelled flightlations
5729,positive,not only was it great but you return my calls the day after could not ask for more myvxexperience
1804,neutral,we invite to fallow learn about our activitiesprevention programs of health by condom rito familywe r 501cconfusion3confusion
367,negative,this is getting ridiculous now we are missing our connection
1176,neutral,i am going to speak with customer service at the airport tomorrow morning and see what my options are i need a flight tomorrow
1579,negative,i knew i should have flew lol
2476,positive,well it is john hughes birthday but i will stick w the plane &amp hold off on trains &amp automobiles gate workers are doing well
744,positive,reservation agent on the phone did a great job
1222,neutral,can you provide me with info about checking strollers and car seats costs restrictions need to bring 2 seats 1 stroller
3459,neutral,just signed up for trueblue and booked a flight but keep getting an error when i try to link it to my tb account what is the deal
1032,negative,okay thanks if you could please update me i was told at the airport someone would call me today but they have not
1496,neutral,  reference number to this request 1 3001408092
808,positive,thanks
581,negative, if you mean beyond opaque maintenance issues yes that would be basic in customer service which your ewr staff can not manage
236,positive,thanks confirmation number just dmed appreciate any help
2854,positive,ah no the staff was perfect this morning at jfk more sleep for me happy_face_or_smiley
5026,positive,of course not the inflight crew was great
1142,negative,fingers crossed &amp its all intact very disappointed with this experience as before this we were actually saying we enjoyed using you
1128,negative,i have fam that is supposed to fly 2 22 that are currently in the hosp3 trys to speak to a human yr phone sys cuts off pls hlp
706,negative,belt issues been a rough day for them worst part is traveling with 9 month old and having to wait outside in 85 degree
907,positive,thank you for getting our daughter home when cancelled flightled all their flights to nashville
77,positive,lmfaooo  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 1g9rnmyuqe
3439,positive,hey  that is a sexy tattoo you got there on your left engine jetbae httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ox4w6ktsgi
3298,neutral,let us know if we can help
4406,neutral,haha i figured that i was meaning there is no return flights out of charlotte it is like n a for a week plus
2318,positive,its all good flight eventually took off and landed safely oh and i got the free cup of wine thx
708,neutral,why we can not have nice things rt  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco hp9rppcvhx
1067,negative,the issue is the lack of consideration of an announcement made so late flight when the gate agent had been there for over an hour
2118,neutral,any chance i can get tix for  i have been tweeting since january 26 about it destinationdragons
4320,positive,it was customer service like i have never seen before kudos to your organization
1194,positive,appreciate it
3431,neutral,  keeping aa up in the air my crew chief cousin alex espinosa in dfw httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 0hxlnvzknp
5154,positive,good to know thanks so much
2235,neutral,my post was just more of disappointment i am a frequent united flyer it was a simple  1 bad apple does not spoil the bunch
5920,positive,best customer service rep in the world irmafromdallas takes the cake
1240,negative,is terrible my flights cancelled flighted and i have been on hold for the past 4 hours never again
3212,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco pa7dcjxlzl cmon fam just no ok
1821,neutral,ok thanks where are you counters located and how late flight are they open
3073,neutral,how can i change without penalty and not have to call customer service
4400,neutral,do you perhaps have a pair to the atlanta show prettyplease
4548,positive,beatriz and susan gate 4 mco
5261,positive,thanks delivery status
2762,positive,you guys rock so easy quick and affordable to change my flight bestairlineever neverchange
796,negative,lost my cats missed their flights kept them crated 30 hrs for a would be 5 hr trip you will never touch my pets again
1400,negative,i did not have time to take my wet clothes suit back to the airport and was not going to pay for another cab to do so
5077,positive,why  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco a7nvbj8ipx
151,negative,no you are not you are trying to book me past when i need 2 arrive but you are still selling seats on the day i am trying 2 travel
454,negative,sorry i meant flight 4420 which was supposed to depart at 500 now says 6happy_face_smiley0 what is the issue
4257,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco fvyzjldton
2127,positive,okay   thanks for your help jt i appreciate your time
1472,negative,we appreciate auto rescheduling our cancelled flightled flight   but you have nothing sooner than tuesday can fly into alternate loc
2058,neutral,connecticut
5113,positive,thanks so much
3103,neutral,i would like to receive offers
430,negative,your wifi is shit fix that up before i jump out of the closest bloody fucking emergency exit
1502,neutral,i have 20 and i will draw you a super sweet picture of your choosing will that get me round trip to san diego it is so cold here
657,neutral,i tried it is okay
172,positive,i would do anything for tickets to the vegas anything i love imagine dragons so much
1004,positive,tbt every day
4685,positive,thank you for help and quick response
892,neutral,app updated with passbook support httpskeptical_annoyed_undecided_uneasy_or_hesitant tco wrwqrublps via
214,negative,i am sitting on the plane too many predictable mechanical problems still onboard this is getting bad
2946,positive,thank you
181,neutral,i forgot to put my tsa pre number in before i checked in it is now in my profile but will it be on my boarding pass in the am
4478,neutral,rt oh no unfortunately the code must be entered at the time of purchase in order to qualify for the points
429,positive,thank you been trying for two days to set this up
1294,positive,i am really craving your pretzels please send me some
803,negative,that is 16+ extra hours of travel time missed vacation time and now you guys are messing with my professional life
4695,positive,thanks we are ticketed on stand by for flight 1970 i hope we make it out fingers crossed
1837,neutral,okay just requested to follow
426,negative,i waited on hold for too long i should not have to wait on hold forever when i never received a confirm in the 1st place help
3624,neutral,companion pass please
3606,neutral,someone should send a note to the revenue management team and ask about all the open bf and gf seats on 919
676,positive,thank you bringbacktheluvtordu miami directflights
284,negative,you rerouted my bfs flight and he is diabetic with little insulin even though we tried to change it the agent would not do it
4334,positive,thank you
802,neutral,can you respond to my dm
656,negative,i suppose your customers enjoy screaming toddlers then not my problem if someone complains
324,negative,can you please follow for a dm on a missing bag
902,negative,i am trying to choose my seats but every time i go to the next flight i get system error
2335,neutral,you blow
3450,neutral,hi i just bought a flight with united through ebokeers from paris to miami do i have any chance to check that everything is ok
68,negative,my moms flight tomorrow cancelled flighted w  no notice phone system said callback in 2 hours and its been 4 i need to go to bed
26,negative,loves cancelled flightling tickets and not telling their customers flyunited
